District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Bongaigaon (20),137285,56155,40.9%,3098,2.26%,11568,8.43%,1140,0.83%,11976,8.72%,1389,1.01%,1003,0.73%,107447,78.27%,15971,11.63%,13867,10.1%,11512,8.39%,15868,11.56%,12033,8.76%,554,0.4%,2987,2.18,294,0.21%,5662,4.12%,563,0.41%,70631,51.45%,1698,1.24%,64393,46.9%,1000,0.73%,816,0.59%,40250,29.32%,16777,12.22%,9762,7.11%,2428,1.77%,403,0.29%,424,0.31%,18
Chirang (21),91718,26129,28.49%,1951,2.13%,7917,8.63%,608,0.66%,5951,6.49%,476,0.52%,1364,1.49%,71330,77.77%,13565,14.79%,6814,7.43%,5713,6.23%,9034,9.85%,7377,8.04%,314,0.34%,1215,1.32,128,0.14%,3255,3.55%,701,0.76%,62310,67.94%,418,0.46%,28289,30.84%,1651,1.8%,813,0.89%,41879,45.66%,22269,24.28%,11657,12.71%,3569,3.89%,837,0.91%,229,0.25%,18
Kamrup (22),308249,96038,31.16%,13867,4.5%,26811,8.7%,1813,0.59%,36147,11.73%,1637,0.53%,6926,2.25%,220637,71.58%,49148,15.94%,38464,12.48%,35010,11.36%,48956,15.88%,35927,11.66%,1947,0.63%,10471,3.4,611,0.2%,21772,7.06%,3490,1.13%,216989,70.39%,1814,0.59%,85956,27.89%,5117,1.66%,3273,1.06%,117890,38.25%,61672,20.01%,37476,12.16%,15640,5.07%,3543,1.15%,1181,0.38%,18
KamrupMetropolitan (23),58277,16497,28.31%,2016,3.46%,4724,8.11%,261,0.45%,7777,13.34%,529,0.91%,5100,8.75%,33542,57.56%,15718,26.97%,9008,15.46%,7498,12.87%,15820,27.15%,6603,11.33%,1215,2.08%,7853,13.48,149,0.26%,8042,13.8%,215,0.37%,48305,82.89%,674,1.16%,9072,15.57%,932,1.6%,213,0.37%,13307,22.83%,4657,7.99%,4233,7.26%,3294,5.65%,2187,3.75%,86,0.15%,18
Nalbari (24),153630,53677,34.94%,6583,4.28%,17683,11.51%,1685,1.1%,22461,14.62%,598,0.39%,3667,2.39%,102375,66.64%,27271,17.75%,23984,15.61%,21780,14.18%,22706,14.78%,18098,11.78%,1255,0.82%,3194,2.08,159,0.1%,7189,4.68%,1106,0.72%,107322,69.86%,971,0.63%,44231,28.79%,2151,1.4%,868,0.56%,52452,34.14%,20004,13.02%,14625,9.52%,4536,2.95%,1385,0.9%,254,0.17%,18
Baksa (25),196332,56473,28.76%,6581,3.35%,14694,7.48%,898,0.46%,15136,7.71%,684,0.35%,3152,1.61%,148181,75.47%,31372,15.98%,16775,8.54%,14474,7.37%,19472,9.92%,16323,8.31%,742,0.38%,2292,1.17,115,0.06%,5577,2.84%,1782,0.91%,130429,66.43%,1218,0.62%,62903,32.04%,3314,1.69%,1306,0.67%,76259,38.84%,44140,22.48%,27750,14.13%,4929,2.51%,582,0.3%,577,0.29%,18
Darrang (26),186731,61240,32.8%,4445,2.38%,9580,5.13%,2591,1.39%,11666,6.25%,900,0.48%,2003,1.07%,153681,82.3%,20921,11.2%,12129,6.5%,10865,5.82%,17054,9.13%,13970,7.48%,377,0.2%,2432,1.3,275,0.15%,4965,2.66%,1275,0.68%,96900,51.89%,793,0.42%,87763,47%,3188,1.71%,1651,0.88%,67499,36.15%,34954,18.72%,22383,11.99%,8257,4.42%,1988,1.06%,349,0.19%,18
Udalguri (27),161729,51235,31.68%,3258,2.01%,6736,4.16%,492,0.3%,8072,4.99%,852,0.53%,6539,4.04%,129647,80.16%,22707,14.04%,9375,5.8%,7492,4.63%,17256,10.67%,14640,9.05%,276,0.17%,2177,1.35,163,0.1%,4273,2.64%,327,0.2%,106280,65.71%,758,0.47%,54364,33.61%,2219,1.37%,1742,1.08%,55506,34.32%,25870,16%,24281,15.01%,4796,2.97%,681,0.42%,191,0.12%,18
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,19
State Total,15756750,7565862,48.02%,252311,1.6%,943787,5.99%,197812,1.26%,681996,4.33%,268830,1.71%,388042,2.46%,12994091,82.47%,1812566,11.5%,948770,6.02%,639237,4.06%,1285399,8.16%,1119855,7.11%,27706,0.18%,122729,0.78%,15109,0.1%,878798,5.58%,54654,0.35%,8637076,54.82%,145725,0.92%,6919244,43.91%,177918,1.13%,152063,0.97%,2854898,18.12%,2699639,17.13%,1168170,7.41%,567424,3.6%,62639,0.4%,36758,0.23%,19
Darjiling (01),279770,116174,41.52%,11348,4.06%,36257,12.96%,898,0.32%,32118,11.48%,5713,2.04%,22127,7.91%,218403,78.07%,33423,11.95%,27944,9.99%,27704,9.9%,27500,9.83%,20093,7.18%,474,0.17%,6834,2.44,99,0.04%,22609,8.08%,862,0.31%,185167,66.19%,2126,0.76%,91614,32.75%,1564,0.56%,1311,0.47%,44598,15.94%,29151,10.42%,20728,7.41%,2270,0.81%,888,0.32%,822,0.29%,19
Jalpaiguri (02),761422,411174,54%,14509,1.91%,54848,7.2%,4476,0.59%,31936,4.19%,13114,1.72%,59222,7.78%,631479,82.93%,85956,11.29%,43827,5.76%,30241,3.97%,58449,7.68%,49365,6.48%,950,0.12%,7725,1.01,409,0.05%,34908,4.58%,1544,0.2%,360157,47.3%,7532,0.99%,392187,51.51%,5386,0.71%,5334,0.7%,105584,13.87%,100234,13.16%,34649,4.55%,13625,1.79%,2206,0.29%,1967,0.26%,19
KochBihar (03),635046,290469,45.74%,9116,1.44%,34485,5.43%,7242,1.14%,21029,3.31%,3124,0.49%,2884,0.45%,532138,83.8%,75467,11.88%,27420,4.32%,19701,3.1%,39008,6.14%,34484,5.43%,957,0.15%,3004,0.47,563,0.09%,14988,2.36%,2766,0.44%,293560,46.23%,3168,0.5%,335531,52.84%,9837,1.55%,5878,0.93%,160344,25.25%,162256,25.55%,47848,7.53%,29555,4.65%,2365,0.37%,1450,0.23%,19
UttarDinajpur (04),543415,253629,46.67%,5722,1.05%,28762,5.29%,4724,0.87%,13230,2.43%,7611,1.4%,6093,1.12%,459323,84.53%,64851,11.93%,19240,3.54%,11935,2.2%,36122,6.65%,31354,5.77%,960,0.18%,3047,0.56,761,0.14%,22698,4.18%,1274,0.23%,286686,52.76%,2373,0.44%,253081,46.57%,8798,1.62%,5470,1.01%,84330,15.52%,147691,27.18%,42226,7.77%,32189,5.92%,2615,0.48%,2178,0.4%,19
DakshinDinajpur (05),349140,145633,41.71%,3831,1.1%,12954,3.71%,3739,1.07%,10669,3.06%,4526,1.3%,1864,0.53%,312425,89.48%,25153,7.2%,11562,3.31%,9810,2.81%,17162,4.92%,14761,4.23%,684,0.2%,1420,0.41,297,0.09%,15248,4.37%,449,0.13%,187109,53.59%,1554,0.45%,160028,45.83%,4393,1.26%,3725,1.07%,73757,21.13%,103394,29.61%,27573,7.9%,23399,6.7%,921,0.26%,553,0.16%,19
Maldah (06),802673,442372,55.11%,7305,0.91%,33659,4.19%,12227,1.52%,23492,2.93%,11145,1.39%,6601,0.82%,681577,84.91%,88497,11.03%,32599,4.06%,21891,2.73%,39405,4.91%,33652,4.19%,834,0.1%,3048,0.38,1871,0.23%,27899,3.48%,1645,0.2%,461367,57.48%,5221,0.65%,334440,41.67%,5777,0.72%,5120,0.64%,107726,13.42%,121057,15.08%,34106,4.25%,15310,1.91%,2549,0.32%,2537,0.32%,19
Murshidabad (07),1490524,866862,58.16%,22794,1.53%,57159,3.83%,40201,2.7%,45738,3.07%,9267,0.62%,8560,0.57%,1256768,84.32%,170200,11.42%,63301,4.25%,42422,2.85%,88615,5.95%,80270,5.39%,1478,0.1%,5711,0.38,1156,0.08%,49339,3.31%,9160,0.61%,751722,50.43%,7166,0.48%,722473,48.47%,16442,1.1%,11986,0.8%,165914,11.13%,231801,15.55%,69381,4.65%,48831,3.28%,8221,0.55%,5161,0.35%,19
Birbhum (08),758961,443957,58.5%,7789,1.03%,33258,4.38%,14667,1.93%,29035,3.83%,7349,0.97%,4629,0.61%,668877,88.13%,56479,7.44%,33602,4.43%,27449,3.62%,47265,6.23%,43359,5.71%,563,0.07%,2966,0.39,377,0.05%,31703,4.18%,1893,0.25%,308559,40.66%,8502,1.12%,440004,57.97%,7433,0.98%,7374,0.97%,105368,13.88%,109982,14.49%,67070,8.84%,27444,3.62%,2020,0.27%,1905,0.25%,19
Barddhaman (09),1250095,658265,52.66%,33690,2.69%,114612,9.17%,14043,1.12%,82731,6.62%,33587,2.69%,25614,2.05%,984786,78.78%,141992,11.36%,123058,9.84%,79461,6.36%,152452,12.2%,137793,11.02%,1949,0.16%,11711,0.94,999,0.08%,109383,8.75%,5893,0.47%,737549,59%,20871,1.67%,485781,38.86%,19091,1.53%,18635,1.49%,137957,11.04%,231440,18.51%,97988,7.84%,45677,3.65%,5169,0.41%,2674,0.21%,19
Nadia (10),1036142,564018,54.43%,25324,2.44%,47590,4.59%,11276,1.09%,45127,4.36%,8910,0.86%,11186,1.08%,802920,77.49%,155791,15.04%,77431,7.47%,43550,4.2%,73875,7.13%,66064,6.38%,1635,0.16%,5305,0.51,871,0.08%,58192,5.62%,7533,0.73%,596055,57.53%,7947,0.77%,424607,40.98%,18901,1.82%,9346,0.9%,121846,11.76%,194363,18.76%,48753,4.71%,63974,6.17%,6019,0.58%,2340,0.23%,19
NorthTwentyFourParganas (11),1183056,644950,54.52%,16388,1.39%,89161,7.54%,15959,1.35%,41895,3.54%,21267,1.8%,26024,2.2%,983185,83.11%,135074,11.42%,64797,5.48%,39704,3.36%,91030,7.69%,77720,6.57%,3373,0.29%,8153,0.69,1784,0.15%,80640,6.82%,4049,0.34%,656868,55.52%,9462,0.8%,512677,43.33%,11769,0.99%,9451,0.8%,148701,12.57%,157646,13.33%,63115,5.33%,36030,3.05%,4542,0.38%,2791,0.24%,19
Hugli (12),920643,412187,44.77%,16157,1.75%,71070,7.72%,7833,0.85%,46861,5.09%,32086,3.49%,42093,4.57%,677486,73.59%,157589,17.12%,85551,9.29%,44689,4.85%,154864,16.82%,117131,12.72%,2745,0.3%,34422,3.74,566,0.06%,92939,10.1%,2447,0.27%,611673,66.44%,21926,2.38%,284596,30.91%,15883,1.73%,13371,1.45%,85834,9.32%,218149,23.7%,48263,5.24%,45422,4.93%,5373,0.58%,1466,0.16%,19
Bankura (13),724878,298066,41.12%,8375,1.16%,40259,5.55%,9346,1.29%,45153,6.23%,12398,1.71%,17347,2.39%,617017,85.12%,61713,8.51%,45634,6.3%,42240,5.83%,73040,10.08%,69347,9.57%,515,0.07%,2933,0.4,245,0.03%,31354,4.33%,2817,0.39%,340009,46.91%,9358,1.29%,372694,51.41%,9084,1.25%,8888,1.23%,214063,29.53%,113851,15.71%,98312,13.56%,35794,4.94%,1025,0.14%,847,0.12%,19
Puruliya (14),536972,159435,29.69%,8418,1.57%,29289,5.45%,5549,1.03%,30742,5.73%,9073,1.69%,6449,1.2%,471934,87.89%,33593,6.26%,31421,5.85%,29040,5.41%,43019,8.01%,39183,7.3%,297,0.06%,3355,0.62,184,0.03%,22526,4.2%,1337,0.25%,212577,39.59%,2368,0.44%,320684,59.72%,3542,0.66%,2514,0.47%,290421,54.08%,20910,3.89%,66027,12.3%,14190,2.64%,741,0.14%,445,0.08%,19
Haora (15),708849,331306,46.74%,19419,2.74%,42549,6%,5498,0.78%,31032,4.38%,20386,2.88%,53593,7.56%,525235,74.1%,123117,17.37%,60497,8.53%,29829,4.21%,86357,12.18%,78925,11.13%,1554,0.22%,5393,0.76,485,0.07%,73721,10.4%,4030,0.57%,503055,70.97%,11047,1.56%,190717,26.91%,4609,0.65%,2703,0.38%,73573,10.38%,69428,9.79%,25873,3.65%,11294,1.59%,3745,0.53%,1224,0.17%,19
SouthTwentyFourParganas (17),1523398,736181,48.32%,13939,0.91%,80334,5.27%,16559,1.09%,50059,3.29%,36892,2.42%,48741,3.2%,1276306,83.78%,174281,11.44%,72807,4.78%,46483,3.05%,72440,4.76%,57996,3.81%,5545,0.36%,6021,0.4,2878,0.19%,84184,5.53%,2664,0.17%,900376,59.1%,9741,0.64%,610615,40.08%,9813,0.64%,8733,0.57%,263851,17.32%,99367,6.52%,90564,5.94%,38394,2.52%,8325,0.55%,4413,0.29%,19
PaschimMedinipur (18),1192518,391041,32.79%,14586,1.22%,67730,5.68%,8131,0.68%,51996,4.36%,20575,1.73%,17326,1.45%,1020402,85.57%,108245,9.08%,63868,5.36%,47398,3.97%,117337,9.84%,107148,8.99%,1433,0.12%,8106,0.68,650,0.05%,58318,4.89%,2302,0.19%,631858,52.99%,8249,0.69%,550099,46.13%,17228,1.44%,22255,1.87%,369021,30.94%,352985,29.6%,178731,14.99%,55858,4.68%,2078,0.17%,1906,0.16%,19
PurbaMedinipur (19),1059248,400143,37.78%,13601,1.28%,69811,6.59%,15444,1.46%,49153,4.64%,11807,1.11%,27689,2.61%,873830,82.5%,121145,11.44%,64211,6.06%,45690,4.31%,67459,6.37%,61210,5.78%,1760,0.17%,3575,0.34,914,0.09%,48149,4.55%,1989,0.19%,612729,57.85%,7114,0.67%,437416,41.29%,8368,0.79%,9969,0.94%,302010,28.51%,235934,22.27%,106963,10.1%,28168,2.66%,3837,0.36%,2079,0.2%,19
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,20
State Total,5044234,1158532,22.97%,121849,2.42%,241864,4.79%,14518,0.29%,237614,4.71%,69667,1.38%,106142,2.1%,3866210,76.65%,781824,15.5%,387727,7.69%,222464,4.41%,935157,18.54%,800225,15.86%,36551,0.72%,62962,1.25%,35419,0.7%,266485,5.28%,44039,0.87%,3297750,65.38%,41301,0.82%,1661129,32.93%,100307,1.99%,102859,2.04%,2745066,54.42%,1456514,28.87%,1492032,29.58%,288660,5.72%,46827,0.93%,30797,0.61%,20
Garhwa (01),229414,43567,18.99%,2712,1.18%,5084,2.22%,867,0.38%,7179,3.13%,2626,1.14%,5784,2.52%,186490,81.29%,32749,14.28%,10175,4.44%,6466,2.82%,27263,11.88%,22774,9.93%,1179,0.51%,2208,0.96,1102,0.48%,8557,3.73%,678,0.3%,146355,63.8%,1811,0.79%,80570,35.12%,4678,2.04%,4294,1.87%,134427,58.6%,85919,37.45%,69638,30.35%,21653,9.44%,1765,0.77%,900,0.39%,20
Chatra (02),175409,43286,24.68%,3066,1.75%,5320,3.03%,616,0.35%,5160,2.94%,2187,1.25%,1668,0.95%,145991,83.23%,20688,11.79%,8730,4.98%,4880,2.78%,18394,10.49%,16014,9.13%,541,0.31%,1611,0.92,228,0.13%,6699,3.82%,621,0.35%,110509,63%,1159,0.66%,63120,35.98%,4675,2.67%,3526,2.01%,97737,55.72%,71800,40.93%,59239,33.77%,19996,11.4%,1059,0.6%,562,0.32%,20
Kodarma (03),96609,19587,20.27%,1667,1.73%,2916,3.02%,267,0.28%,3941,4.08%,708,0.73%,2128,2.2%,72156,74.69%,18368,19.01%,6085,6.3%,3748,3.88%,14966,15.49%,13457,13.93%,250,0.26%,1158,1.2,101,0.1%,3794,3.93%,228,0.24%,77489,80.21%,628,0.65%,18264,18.91%,1769,1.83%,1788,1.85%,58709,60.77%,39019,40.39%,41105,42.55%,6014,6.23%,213,0.22%,244,0.25%,20
Giridih (04),383640,59482,15.5%,6812,1.78%,13558,3.53%,1213,0.32%,18915,4.93%,2841,0.74%,5076,1.32%,297322,77.5%,61669,16.07%,24648,6.42%,17713,4.62%,62847,16.38%,57011,14.86%,1091,0.28%,4216,1.1,529,0.14%,13696,3.57%,1650,0.43%,313452,81.7%,1813,0.47%,66724,17.39%,6818,1.78%,4566,1.19%,276791,72.15%,124669,32.5%,172797,45.04%,16521,4.31%,787,0.21%,450,0.12%,20
Deoghar (05),216632,30064,13.88%,4784,2.21%,5913,2.73%,642,0.3%,8279,3.82%,1004,0.46%,1745,0.81%,182248,84.13%,24927,11.51%,9457,4.37%,7675,3.54%,26522,12.24%,24184,11.16%,582,0.27%,1327,0.61,429,0.2%,6428,2.97%,2401,1.11%,150636,69.54%,716,0.33%,62879,29.03%,3598,1.66%,3601,1.66%,152879,70.57%,94958,43.83%,97009,44.78%,12091,5.58%,422,0.19%,285,0.13%,20
Godda (06),243676,82166,33.72%,5859,2.4%,8375,3.44%,518,0.21%,10222,4.19%,1583,0.65%,1448,0.59%,195802,80.35%,32628,13.39%,15245,6.26%,9637,3.95%,33471,13.74%,28377,11.65%,795,0.33%,1862,0.76,2437,1%,7541,3.09%,2391,0.98%,160264,65.77%,1892,0.78%,79128,32.47%,4819,1.98%,5400,2.22%,107771,44.23%,77526,31.82%,56730,23.28%,8533,3.5%,1845,0.76%,1936,0.79%,20
Sahibganj (07),205762,94570,45.96%,4723,2.3%,3618,1.76%,517,0.25%,4686,2.28%,556,0.27%,682,0.33%,175997,85.53%,22246,10.81%,7508,3.65%,4387,2.13%,13567,6.59%,12067,5.86%,300,0.15%,964,0.47,236,0.11%,3188,1.55%,2239,1.09%,114554,55.67%,516,0.25%,88442,42.98%,3203,1.56%,2927,1.42%,65807,31.98%,42792,20.8%,32867,15.97%,7496,3.64%,2692,1.31%,740,0.36%,20
Pakur (08),173746,64837,37.32%,1991,1.15%,2097,1.21%,557,0.32%,3467,2%,281,0.16%,621,0.36%,158310,91.12%,11070,6.37%,4366,2.51%,3093,1.78%,11720,6.75%,10501,6.04%,175,0.1%,728,0.42,316,0.18%,2786,1.6%,2259,1.3%,63071,36.3%,334,0.19%,108082,62.21%,1935,1.11%,1482,0.85%,73184,42.12%,44763,25.76%,28545,16.43%,4165,2.4%,1242,0.71%,507,0.29%,20
Dhanbad (09),260908,70061,26.85%,15137,5.8%,35995,13.8%,1013,0.39%,31004,11.88%,9426,3.61%,9596,3.68%,191942,73.57%,29068,11.14%,39898,15.29%,30000,11.5%,64576,24.75%,57903,22.19%,784,0.3%,3993,1.53,1896,0.73%,32558,12.48%,1122,0.43%,189893,72.78%,1836,0.7%,68057,26.08%,2626,1.01%,2664,1.02%,124295,47.64%,48317,18.52%,54231,20.79%,3952,1.51%,629,0.24%,607,0.23%,20
Bokaro (10),276821,62079,22.43%,8673,3.13%,28808,10.41%,1035,0.37%,26443,9.55%,8804,3.18%,7969,2.88%,210718,76.12%,31913,11.53%,34190,12.35%,25140,9.08%,67366,24.34%,61638,22.27%,656,0.24%,4758,1.72,314,0.11%,29780,10.76%,962,0.35%,183410,66.26%,1919,0.69%,90530,32.7%,4508,1.63%,2836,1.02%,156110,56.39%,64193,23.19%,85219,30.78%,8848,3.2%,982,0.35%,1072,0.39%,20
Lohardaga (11),79897,9127,11.42%,1423,1.78%,2712,3.39%,117,0.15%,2950,3.69%,251,0.31%,631,0.79%,68239,85.41%,8506,10.65%,3152,3.95%,2723,3.41%,9436,11.81%,8491,10.63%,365,0.46%,524,0.66,56,0.07%,3420,4.28%,487,0.61%,48827,61.11%,557,0.7%,30026,37.58%,3432,4.3%,2568,3.21%,55250,69.15%,26580,33.27%,19917,24.93%,11793,14.76%,763,0.95%,230,0.29%,20
Purbi Singhbhum (12),273216,88383,32.35%,5884,2.15%,14802,5.42%,815,0.3%,11298,4.14%,6502,2.38%,11771,4.31%,183125,67.03%,61947,22.67%,28144,10.3%,10674,3.91%,87422,32%,79152,28.97%,3544,1.3%,4288,1.57,438,0.16%,28020,10.26%,1781,0.65%,175777,64.34%,3970,1.45%,91688,33.56%,2870,1.05%,7499,2.74%,77063,28.21%,18619,6.81%,48087,17.6%,4680,1.71%,1478,0.54%,3261,1.19%,20
Palamu (13),325420,82361,25.31%,5281,1.62%,12789,3.93%,876,0.27%,17405,5.35%,2898,0.89%,3596,1.11%,247609,76.09%,50789,15.61%,27022,8.3%,16179,4.97%,44330,13.62%,35929,11.04%,1761,0.54%,4873,1.5,1767,0.54%,11515,3.54%,1459,0.45%,212240,65.22%,2228,0.68%,109493,33.65%,6157,1.89%,8706,2.68%,179621,55.2%,104430,32.09%,85157,26.17%,18680,5.74%,1262,0.39%,1553,0.48%,20
Latehar (14),128904,16338,12.67%,2956,2.29%,3127,2.43%,197,0.15%,4208,3.26%,379,0.29%,895,0.69%,114647,88.94%,9233,7.16%,5024,3.9%,3945,3.06%,9757,7.57%,8423,6.53%,268,0.21%,941,0.73,125,0.1%,3876,3.01%,2492,1.93%,67989,52.74%,381,0.3%,58042,45.03%,1726,1.34%,1606,1.25%,95962,74.44%,46370,35.97%,36733,28.5%,5628,4.37%,566,0.44%,113,0.09%,20
Hazaribagh (15),278302,41608,14.95%,6204,2.23%,14485,5.2%,740,0.27%,13470,4.84%,4694,1.69%,5542,1.99%,201250,72.31%,53280,19.14%,23771,8.54%,12902,4.64%,54850,19.71%,48539,17.44%,728,0.26%,5336,1.92,247,0.09%,16628,5.97%,2003,0.72%,234887,84.4%,1934,0.69%,39477,14.18%,6455,2.32%,5012,1.8%,180421,64.83%,133047,47.81%,122620,44.06%,27931,10.04%,724,0.26%,280,0.1%,20
Ramgarh (16),155863,31257,20.05%,7481,4.8%,27589,17.7%,338,0.22%,16467,10.57%,9529,6.11%,8027,5.15%,108644,69.7%,17283,11.09%,29936,19.21%,15995,10.26%,43403,27.85%,37520,24.07%,512,0.33%,5198,3.33,173,0.11%,22454,14.41%,261,0.17%,123346,79.14%,935,0.6%,31321,20.1%,2705,1.74%,1956,1.25%,77385,49.65%,60940,39.1%,58841,37.75%,16719,10.73%,601,0.39%,400,0.26%,20
Dumka (17),262618,44054,16.77%,3483,1.33%,6569,2.5%,515,0.2%,11226,4.27%,913,0.35%,1134,0.43%,233743,89%,18699,7.12%,10176,3.87%,10111,3.85%,25389,9.67%,22833,8.69%,239,0.09%,1704,0.65,613,0.23%,8574,3.26%,743,0.28%,117037,44.57%,941,0.36%,143897,54.79%,3638,1.39%,3865,1.47%,182011,69.31%,72705,27.68%,95651,36.42%,9056,3.45%,572,0.22%,467,0.18%,20
Jamtara (18),139849,22595,16.16%,1744,1.25%,3772,2.7%,482,0.34%,5424,3.88%,1323,0.95%,464,0.33%,121632,86.97%,13779,9.85%,4438,3.17%,4891,3.5%,17281,12.36%,16365,11.7%,127,0.09%,666,0.48,123,0.09%,3864,2.76%,850,0.61%,73694,52.7%,446,0.32%,64859,46.38%,1249,0.89%,1732,1.24%,98169,70.2%,47977,34.31%,65312,46.7%,4584,3.28%,255,0.18%,170,0.12%,20
Ranchi (19),346242,63038,18.21%,9112,2.63%,17707,5.11%,998,0.29%,15245,4.4%,4580,1.32%,11840,3.42%,232337,67.1%,74720,21.58%,30726,8.87%,14121,4.08%,95274,27.52%,76701,22.15%,4859,1.4%,8925,2.58,4789,1.38%,23484,6.78%,4430,1.28%,238811,68.97%,5201,1.5%,97799,28.25%,11381,3.29%,9696,2.8%,193433,55.87%,120382,34.77%,122468,35.37%,34144,9.86%,6209,1.79%,4448,1.28%,20
Khunti (20),95140,8137,8.55%,2343,2.46%,1962,2.06%,109,0.11%,2830,2.97%,202,0.21%,557,0.59%,86998,91.44%,5612,5.9%,2530,2.66%,2554,2.68%,7342,7.72%,6447,6.78%,242,0.25%,542,0.57,111,0.12%,2793,2.94%,731,0.77%,48347,50.82%,143,0.15%,45919,48.26%,1996,2.1%,1450,1.52%,69894,73.46%,34402,36.16%,32217,33.86%,3292,3.46%,285,0.3%,166,0.17%,20
Gumla (21),172479,23145,13.42%,3295,1.91%,4920,2.85%,566,0.33%,6855,3.97%,558,0.32%,1441,0.84%,122083,70.78%,34346,19.91%,16050,9.31%,6388,3.7%,46758,27.11%,35982,20.86%,6421,3.72%,2155,1.25,2200,1.28%,4451,2.58%,2771,1.61%,111497,64.64%,3933,2.28%,54278,31.47%,3603,2.09%,3739,2.17%,91459,53.03%,31767,18.42%,37281,21.61%,14247,8.26%,7832,4.54%,1588,0.92%,20
Simdega (22),108003,12826,11.88%,971,0.9%,2508,2.32%,445,0.41%,2710,2.51%,309,0.29%,359,0.33%,85502,79.17%,15156,14.03%,7345,6.8%,2511,2.32%,18283,16.93%,13902,12.87%,2619,2.42%,1050,0.97,712,0.66%,1860,1.72%,798,0.74%,62671,58.03%,2065,1.91%,42469,39.32%,1319,1.22%,1607,1.49%,75236,69.66%,8996,8.33%,10387,9.62%,3623,3.35%,1566,1.45%,578,0.54%,20
Pashchimi Singhbhum (23),247857,98821,39.87%,8853,3.57%,8431,3.4%,723,0.29%,3460,1.4%,5137,2.07%,11132,4.49%,133303,53.78%,92535,37.33%,22019,8.88%,2581,1.04%,79362,32.02%,63058,25.44%,5868,2.37%,2007,0.81,8429,3.4%,11286,4.55%,5747,2.32%,171197,69.07%,3698,1.49%,67215,27.12%,8204,3.31%,10798,4.36%,58413,23.57%,37848,15.27%,38321,15.46%,15021,6.06%,7266,2.93%,4495,1.81%,20
Saraikela-Kharsawan (24),167827,47143,28.09%,7395,4.41%,8807,5.25%,352,0.21%,4770,2.84%,2376,1.42%,12036,7.17%,110122,65.62%,40613,24.2%,17092,10.18%,4150,2.47%,55578,33.12%,42957,25.6%,2645,1.58%,1928,1.15,8048,4.8%,9233,5.5%,4935,2.94%,101797,60.66%,2245,1.34%,58850,35.07%,6943,4.14%,9541,5.69%,63039,37.56%,18495,11.02%,21660,12.91%,9993,5.95%,5812,3.46%,5745,3.42%,20
