District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Srinagar (10),4304,586,13.62%,515,11.97%,834,19.38%,3,0.07%,620,14.41%,99,2.3%,305,7.09%,2017,46.86%,1537,35.71%,750,17.43%,597,13.87%,885,20.56%,442,10.27%,25,0.58%,393,9.13,25,0.58%,1263,29.34%,11,0.26%,3832,89.03%,72,1.67%,389,9.04%,240,5.58%,117,2.72%,1497,34.78%,723,16.8%,810,18.82%,217,5.04%,30,0.7%,108,2.51%,01
Ganderbal (11),40450,7283,18%,546,1.35%,2314,5.72%,92,0.23%,7994,19.76%,73,0.18%,302,0.75%,27497,67.98%,6553,16.2%,6400,15.82%,7478,18.49%,3572,8.83%,1572,3.89%,144,0.36%,1816,4.49,40,0.1%,2897,7.16%,280,0.69%,32572,80.52%,703,1.74%,6895,17.05%,346,0.86%,119,0.29%,20339,50.28%,14813,36.62%,7320,18.1%,561,1.39%,56,0.14%,47,0.12%,01
Pulwama (12),79308,11025,13.9%,2397,3.02%,6738,8.5%,479,0.6%,17299,21.81%,392,0.49%,1015,1.28%,50610,63.81%,13247,16.7%,15451,19.48%,16449,20.74%,7987,10.07%,2542,3.21%,225,0.28%,5145,6.49,75,0.09%,7724,9.74%,305,0.38%,65061,82.04%,1958,2.47%,11984,15.11%,625,0.79%,539,0.68%,43156,54.42%,34274,43.22%,20956,26.42%,4015,5.06%,54,0.07%,81,0.1%,01
Shupiyan (13),42691,3646,8.54%,522,1.22%,1797,4.21%,200,0.47%,5052,11.83%,66,0.15%,222,0.52%,26457,61.97%,10017,23.46%,6217,14.56%,4810,11.27%,6137,14.38%,3362,7.88%,127,0.3%,2632,6.17,16,0.04%,2152,5.04%,197,0.46%,33759,79.08%,651,1.52%,8084,18.94%,419,0.98%,285,0.67%,22402,52.47%,4510,10.56%,22232,52.08%,6009,14.08%,67,0.16%,37,0.09%,01
Anantnag (14),123476,18415,14.91%,3005,2.43%,8797,7.12%,638,0.52%,22666,18.36%,390,0.32%,1079,0.87%,87253,70.66%,16403,13.28%,19820,16.05%,21353,17.29%,8766,7.1%,3091,2.5%,358,0.29%,5263,4.26,54,0.04%,6557,5.31%,519,0.42%,96255,77.95%,2013,1.63%,24689,19.99%,1169,0.95%,708,0.57%,58800,47.62%,59882,48.5%,25615,20.74%,3234,2.62%,119,0.1%,155,0.13%,01
Kulgam (15),61426,6564,10.69%,1220,1.99%,3502,5.7%,498,0.81%,9509,15.48%,102,0.17%,316,0.51%,46958,76.45%,6219,10.12%,8249,13.43%,8874,14.45%,3323,5.41%,1477,2.4%,155,0.25%,1666,2.71,25,0.04%,1787,2.91%,163,0.27%,39147,63.73%,526,0.86%,21590,35.15%,646,1.05%,633,1.03%,33267,54.16%,24905,40.54%,15867,25.83%,2344,3.82%,81,0.13%,90,0.15%,01
Doda (16),74110,1148,1.55%,2984,4.03%,4424,5.97%,85,0.11%,15057,20.32%,210,0.28%,654,0.88%,56271,75.93%,5959,8.04%,11880,16.03%,12654,17.07%,2382,3.21%,1237,1.67%,28,0.04%,1093,1.47,24,0.03%,5780,7.8%,260,0.35%,55565,74.98%,524,0.71%,17761,23.97%,328,0.44%,309,0.42%,66456,89.67%,18542,25.02%,16089,21.71%,213,0.29%,66,0.09%,50,0.07%,01
Ramban (17),55171,1934,3.51%,2123,3.85%,3412,6.18%,83,0.15%,7206,13.06%,447,0.81%,512,0.93%,45242,82%,4262,7.73%,5667,10.27%,6160,11.17%,1068,1.94%,302,0.55%,27,0.05%,720,1.31,19,0.03%,3008,5.45%,94,0.17%,31708,57.47%,290,0.53%,23079,41.83%,234,0.42%,163,0.3%,46532,84.34%,12642,22.91%,15895,28.81%,385,0.7%,8,0.01%,11,0.02%,01
Kishtwar (18),42273,1624,3.84%,2399,5.68%,2242,5.3%,46,0.11%,7353,17.39%,251,0.59%,718,1.7%,33327,78.84%,3784,8.95%,5162,12.21%,5774,13.66%,1944,4.6%,1366,3.23%,28,0.07%,528,1.25,22,0.05%,3381,8%,87,0.21%,20398,48.25%,304,0.72%,21484,50.82%,167,0.4%,285,0.67%,29668,70.18%,20680,48.92%,17781,42.06%,261,0.62%,52,0.12%,36,0.09%,01
Udhampur (19),79845,3818,4.78%,4580,5.74%,6943,8.7%,69,0.09%,14680,18.39%,293,0.37%,1384,1.73%,54672,68.47%,11850,14.84%,13323,16.69%,13435,16.83%,5838,7.31%,3912,4.9%,142,0.18%,1761,2.21,23,0.03%,17645,22.1%,259,0.32%,61465,76.98%,1691,2.12%,16430,20.58%,1177,1.47%,879,1.1%,59560,74.59%,28713,35.96%,9280,11.62%,1196,1.5%,139,0.17%,499,0.62%,01
