District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Haveri (10),257562,165692,19696,6055,12336,752,47602,43885,69222,7.65%,2.35%,4.79%,0.29%,18.48%,17.04%,26.88%,56577,36190,15754,4307,1010,167,7,21.97%,14.05%,6.12%,1.67%,0.39%,0.06%,0%,51680,20.07%,29
Bellary (11),290257,145844,11048,5378,12871,561,71011,74977,34750,3.81%,1.85%,4.43%,0.19%,24.46%,25.83%,11.97%,48232,44019,17351,4367,854,88,1,16.62%,15.17%,5.98%,1.5%,0.29%,0.03%,0%,30932,10.66%,29
Chitradurga (12),282921,166238,20777,7602,12605,577,80286,55408,29160,7.34%,2.69%,4.46%,0.2%,28.38%,19.58%,10.31%,60668,39615,14620,4180,1001,146,8,21.44%,14%,5.17%,1.48%,0.35%,0.05%,0%,46000,16.26%,29
Davanagere (13),278261,128729,8939,5696,10741,411,59721,45547,15074,3.21%,2.05%,3.86%,0.15%,21.46%,16.37%,5.42%,46507,30463,8925,2348,455,40,2,16.71%,10.95%,3.21%,0.84%,0.16%,0.01%,0%,39989,14.37%,29
Shimoga (14),257688,122372,4511,6038,11077,422,37170,31169,60070,1.75%,2.34%,4.3%,0.16%,14.42%,12.1%,23.31%,39063,26616,12798,3712,868,92,4,15.16%,10.33%,4.97%,1.44%,0.34%,0.04%,0%,39219,15.22%,29
Udupi (15),200232,75303,1361,3443,7530,238,12167,8445,31958,0.68%,1.72%,3.76%,0.12%,6.08%,4.22%,15.96%,30404,11076,3016,745,99,7,3,15.18%,5.53%,1.51%,0.37%,0.05%,0%,0%,29953,14.96%,29
CHIKMAGALUR (16),206997,71699,2933,5031,7580,356,26513,19286,17407,1.42%,2.43%,3.66%,0.17%,12.81%,9.32%,8.41%,23543,14804,5927,1626,305,23,1,11.37%,7.15%,2.86%,0.79%,0.15%,0.01%,0%,25470,12.3%,29
Tumkur (17),488277,252678,20283,20903,28259,2368,91310,84673,53288,4.15%,4.28%,5.79%,0.48%,18.7%,17.34%,10.91%,85281,51107,23371,7876,2029,294,9,17.47%,10.47%,4.79%,1.61%,0.42%,0.06%,0%,82711,16.94%,29
Bangalore (18),269172,121090,3480,4049,8001,740,31656,30782,67931,1.29%,1.5%,2.97%,0.27%,11.76%,11.44%,25.24%,52134,27351,9394,2178,510,54,5,19.37%,10.16%,3.49%,0.81%,0.19%,0.02%,0%,29464,10.95%,29
Mandya (19),351462,177791,23961,12422,20595,731,33155,64838,54547,6.82%,3.53%,5.86%,0.21%,9.43%,18.45%,15.52%,59676,35582,16020,5796,1423,168,6,16.98%,10.12%,4.56%,1.65%,0.4%,0.05%,0%,59120,16.82%,29
Hassan (20),348175,153041,12261,14170,16846,1030,42446,46602,17571,3.52%,4.07%,4.84%,0.3%,12.19%,13.38%,5.05%,49661,25634,10608,3462,759,86,2,14.26%,7.36%,3.05%,0.99%,0.22%,0.02%,0%,62829,18.05%,29
Dakshina Kannada (21),276202,92810,1949,2761,7389,319,20285,11454,39128,0.71%,1%,2.68%,0.12%,7.34%,4.15%,14.17%,40366,13743,3710,898,129,11,0,14.61%,4.98%,1.34%,0.33%,0.05%,0%,0%,33953,12.29%,29
Kodagu (22),114715,44099,764,2959,5000,234,16537,11839,18892,0.67%,2.58%,4.36%,0.2%,14.42%,10.32%,16.47%,14527,10769,4871,1073,227,20,0,12.66%,9.39%,4.25%,0.94%,0.2%,0.02%,0%,12612,10.99%,29
Mysore (23),416354,213361,35718,12363,19108,801,84510,91397,95439,8.58%,2.97%,4.59%,0.19%,20.3%,21.95%,22.92%,67487,60211,30906,9972,3009,606,20,16.21%,14.46%,7.42%,2.4%,0.72%,0.15%,0%,41150,9.88%,29
