District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Mahendragarh (16),144210,52269,2202,2613,2364,203,17472,13117,29478,1.53%,1.81%,1.64%,0.14%,12.12%,9.1%,20.44%,16750,14589,5312,1054,236,28,3,11.62%,10.12%,3.68%,0.73%,0.16%,0.02%,0%,14297,9.91%,06
Rewari (17),133065,44885,1286,2465,2353,178,18465,10656,28575,0.97%,1.85%,1.77%,0.13%,13.88%,8.01%,21.47%,13853,14564,5152,1045,253,16,0,10.41%,10.95%,3.87%,0.79%,0.19%,0.01%,0%,10002,7.52%,06
Gurgaon (18),95792,27950,935,1282,1331,203,9688,8390,15256,0.98%,1.34%,1.39%,0.21%,10.11%,8.76%,15.93%,9771,8248,2604,553,131,22,1,10.2%,8.61%,2.72%,0.58%,0.14%,0.02%,0%,6620,6.91%,06
Mewat (19),140478,72698,15991,3695,2720,331,6919,46702,42918,11.38%,2.63%,1.94%,0.24%,4.93%,33.25%,30.55%,25012,25583,10767,2079,435,51,0,17.8%,18.21%,7.66%,1.48%,0.31%,0.04%,0%,8771,6.24%,06
Faridabad (20),66824,23405,1480,915,1325,97,7614,9322,14542,2.21%,1.37%,1.98%,0.15%,11.39%,13.95%,21.76%,7621,7647,3020,685,110,5,0,11.4%,11.44%,4.52%,1.03%,0.16%,0.01%,0%,4317,6.46%,06
Palwal (21),130035,59112,5798,2575,2512,216,18438,27775,36362,4.46%,1.98%,1.93%,0.17%,14.18%,21.36%,27.96%,18864,19585,9017,1683,321,40,2,14.51%,15.06%,6.93%,1.29%,0.25%,0.03%,0%,9600,7.38%,06
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,07
UT Zone Total,1338560,295092,25143,10825,14586,1137,71768,75751,94827,1.88%,0.81%,1.09%,0.08%,5.36%,5.66%,7.08%,104956,53100,18908,4872,1084,200,7,7.84%,3.97%,1.41%,0.36%,0.08%,0.01%,0%,111965,8.36%,07
State Total,1051097,168303,3330,3589,4187,520,27372,37574,51071,0.32%,0.34%,0.4%,0.05%,2.6%,3.57%,4.86%,59439,23709,5708,787,92,9,0,5.65%,2.26%,0.54%,0.07%,0.01%,0%,0%,78559,7.47%,07
North West (01),299316,53371,1367,1104,1421,302,9751,13671,17842,0.46%,0.37%,0.47%,0.1%,3.26%,4.57%,5.96%,18457,8874,2464,393,53,4,0,6.17%,2.96%,0.82%,0.13%,0.02%,0%,0%,23126,7.73%,07
North (02),51632,8972,206,114,170,23,1479,1691,2197,0.4%,0.22%,0.33%,0.04%,2.86%,3.28%,4.26%,3218,1000,191,21,1,0,0,6.23%,1.94%,0.37%,0.04%,0%,0%,0%,4541,8.79%,07
North East (03),194939,19046,79,435,423,24,1885,1699,6489,0.04%,0.22%,0.22%,0.01%,0.97%,0.87%,3.33%,6810,1460,328,71,6,1,0,3.49%,0.75%,0.17%,0.04%,0%,0%,0%,10370,5.32%,07
East (04),93117,7840,127,308,412,20,1838,1736,1354,0.14%,0.33%,0.44%,0.02%,1.97%,1.86%,1.45%,2992,1051,187,31,2,1,0,3.21%,1.13%,0.2%,0.03%,0%,0%,0%,3576,3.84%,07
West (07),124338,22098,175,506,511,28,4139,5219,7828,0.14%,0.41%,0.41%,0.02%,3.33%,4.2%,6.3%,8713,3702,669,63,6,0,0,7.01%,2.98%,0.54%,0.05%,0%,0%,0%,8945,7.19%,07
South West (08),112653,29897,607,494,586,70,4131,7322,6852,0.54%,0.44%,0.52%,0.06%,3.67%,6.5%,6.08%,9795,3668,845,85,10,1,0,8.69%,3.26%,0.75%,0.08%,0.01%,0%,0%,15493,13.75%,07
South (09),175102,27079,769,628,664,53,4149,6236,8509,0.44%,0.36%,0.38%,0.03%,2.37%,3.56%,4.86%,9454,3954,1024,123,14,2,0,5.4%,2.26%,0.58%,0.07%,0.01%,0%,0%,12508,7.14%,07
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,08
West Zone Total,31206237,17943559,3831583,1266486,1184814,146482,6839360,6828007,8187227,12.28%,4.06%,3.8%,0.47%,21.92%,21.88%,26.24%,5539461,4769767,2727245,945062,197493,39387,2742,17.75%,15.28%,8.74%,3.03%,0.63%,0.13%,0.01%,3722402,11.93%,08
State Total,10223073,6080983,2043530,327627,314491,78404,2792590,3208621,2242666,19.99%,3.2%,3.08%,0.77%,27.32%,31.39%,21.94%,1694293,1734617,1217962,422489,76263,17871,1717,16.57%,16.97%,11.91%,4.13%,0.75%,0.17%,0.02%,915771,8.96%,08
Ganganagar (01),287488,157725,55521,9455,6523,1513,92160,81395,108447,19.31%,3.29%,2.27%,0.53%,32.06%,28.31%,37.72%,31909,45950,43467,19443,3253,1017,95,11.1%,15.98%,15.12%,6.76%,1.13%,0.35%,0.03%,12591,4.38%,08
Hanumangarh (02),275589,140380,38328,6080,5282,1233,66869,71739,72384,13.91%,2.21%,1.92%,0.45%,24.26%,26.03%,26.27%,34992,39139,30396,11364,1777,461,50,12.7%,14.2%,11.03%,4.12%,0.64%,0.17%,0.02%,22201,8.06%,08
Bikaner (03),261329,150509,36602,3687,3748,653,51661,82802,52041,14.01%,1.41%,1.43%,0.25%,19.77%,31.68%,19.91%,49570,43049,22181,6292,610,117,9,18.97%,16.47%,8.49%,2.41%,0.23%,0.04%,0%,28681,10.98%,08
Churu (04),276699,152349,32911,4686,5386,1187,55986,76845,32364,11.89%,1.69%,1.95%,0.43%,20.23%,27.77%,11.7%,50133,39396,18219,5384,703,115,6,18.12%,14.24%,6.58%,1.95%,0.25%,0.04%,0%,38393,13.88%,08
Jhunjhunun (05),317727,110898,8869,4493,6257,870,37062,35281,38960,2.79%,1.41%,1.97%,0.27%,11.66%,11.1%,12.26%,38964,24997,10064,2385,494,96,8,12.26%,7.87%,3.17%,0.75%,0.16%,0.03%,0%,33890,10.67%,08
Alwar (06),529224,249496,47746,12529,10709,2447,87559,102127,130468,9.02%,2.37%,2.02%,0.46%,16.54%,19.3%,24.65%,83887,74565,35534,9993,2176,456,54,15.85%,14.09%,6.71%,1.89%,0.41%,0.09%,0.01%,42831,8.09%,08
Bharatpur (07),343978,181949,40169,6893,6260,1445,61893,70820,92300,11.68%,2%,1.82%,0.42%,17.99%,20.59%,26.83%,58390,52346,26755,7098,1270,269,11,16.97%,15.22%,7.78%,2.06%,0.37%,0.08%,0%,35810,10.41%,08
Dhaulpur (08),173796,121119,35397,4834,4726,1127,38066,55288,60288,20.37%,2.78%,2.72%,0.65%,21.9%,31.81%,34.69%,36578,34484,20651,6262,1093,253,28,21.05%,19.84%,11.88%,3.6%,0.63%,0.15%,0.02%,21770,12.53%,08
Karauli (09),250656,169022,39109,9061,6223,2586,86928,78462,85532,15.6%,3.61%,2.48%,1.03%,34.68%,31.3%,34.12%,51171,53600,31784,10006,2003,600,77,20.41%,21.38%,12.68%,3.99%,0.8%,0.24%,0.03%,19781,7.89%,08
Sawai Madhopur (10),221430,138979,44238,7495,6015,2028,62116,64181,66368,19.98%,3.38%,2.72%,0.92%,28.05%,28.98%,29.97%,44024,45249,24960,7795,1764,433,63,19.88%,20.43%,11.27%,3.52%,0.8%,0.2%,0.03%,14691,6.63%,08
Dausa (11),273196,156933,42952,8049,6463,2311,80452,66842,66492,15.72%,2.95%,2.37%,0.85%,29.45%,24.47%,24.34%,49911,49297,26188,8409,1935,473,49,18.27%,18.04%,9.59%,3.08%,0.71%,0.17%,0.02%,20671,7.57%,08
Jaipur (12),530477,233385,35584,10724,11126,2359,91525,98664,120158,6.71%,2.02%,2.1%,0.44%,17.25%,18.6%,22.65%,78287,70648,33329,9369,2100,395,32,14.76%,13.32%,6.28%,1.77%,0.4%,0.07%,0.01%,39225,7.39%,08
Sikar (13),369270,133198,15605,5738,7006,1518,45424,47362,52491,4.23%,1.55%,1.9%,0.41%,12.3%,12.83%,14.21%,46000,32953,14420,3739,809,150,11,12.46%,8.92%,3.91%,1.01%,0.22%,0.04%,0%,35116,9.51%,08
Nagaur (14),523798,270049,43597,12703,12000,3168,93438,136993,81883,8.32%,2.43%,2.29%,0.6%,17.84%,26.15%,15.63%,90721,70014,33979,9877,1850,357,28,17.32%,13.37%,6.49%,1.89%,0.35%,0.07%,0.01%,63223,12.07%,08
Jodhpur (15),460672,250629,60223,10931,11338,2715,73782,139510,54217,13.07%,2.37%,2.46%,0.59%,16.02%,30.28%,11.77%,88173,63713,29217,9355,1825,425,53,19.14%,13.83%,6.34%,2.03%,0.4%,0.09%,0.01%,57868,12.56%,08
Jaisalmer (16),110525,73760,22702,3124,2756,555,15855,47865,34993,20.54%,2.83%,2.49%,0.5%,14.35%,43.31%,31.66%,23689,23549,13095,3533,596,104,6,21.43%,21.31%,11.85%,3.2%,0.54%,0.09%,0.01%,9188,8.31%,08
Barmer (17),481147,342208,110935,16982,15498,6475,93831,218718,62220,23.06%,3.53%,3.22%,1.35%,19.5%,45.46%,12.93%,122959,93268,43445,15484,3502,791,91,25.56%,19.38%,9.03%,3.22%,0.73%,0.16%,0.02%,62668,13.02%,08
Jalor (18),324662,192411,84250,6791,9258,2063,75436,115214,51648,25.95%,2.09%,2.85%,0.64%,23.24%,35.49%,15.91%,52899,54063,37407,14758,1888,439,44,16.29%,16.65%,11.52%,4.55%,0.58%,0.14%,0.01%,30913,9.52%,08
Sirohi (19),170212,109289,53503,3991,5584,974,69589,73019,42914,31.43%,2.34%,3.28%,0.57%,40.88%,42.9%,25.21%,18813,27446,32940,16316,1814,400,45,11.05%,16.12%,19.35%,9.59%,1.07%,0.24%,0.03%,11515,6.77%,08
Pali (20),352690,207678,67735,14748,15924,3152,70869,112828,78884,19.21%,4.18%,4.52%,0.89%,20.09%,31.99%,22.37%,60367,55463,38239,14660,3017,677,49,17.12%,15.73%,10.84%,4.16%,0.86%,0.19%,0.01%,35206,9.98%,08
Ajmer (21),315014,178944,41061,11261,14466,2851,45837,90414,61299,13.03%,3.57%,4.59%,0.91%,14.55%,28.7%,19.46%,62290,45426,22729,8351,1922,423,44,19.77%,14.42%,7.22%,2.65%,0.61%,0.13%,0.01%,37759,11.99%,08
Tonk (22),233901,139042,52099,7643,8031,2631,58830,70216,51760,22.27%,3.27%,3.43%,1.12%,25.15%,30.02%,22.13%,41854,41912,25058,8990,2148,542,58,17.89%,17.92%,10.71%,3.84%,0.92%,0.23%,0.02%,18480,7.9%,08
Bundi (23),197992,131494,64276,7551,7399,1471,62289,78097,66099,32.46%,3.81%,3.74%,0.74%,31.46%,39.44%,33.38%,28990,40560,33831,14344,2700,715,59,14.64%,20.49%,17.09%,7.24%,1.36%,0.36%,0.03%,10295,5.2%,08
Bhilwara (24),419347,265865,89169,20853,23184,5283,98993,158555,75541,21.26%,4.97%,5.53%,1.26%,23.61%,37.81%,18.01%,79502,75893,46346,17942,4496,1074,80,18.96%,18.1%,11.05%,4.28%,1.07%,0.26%,0.02%,40532,9.67%,08
Rajsamand (25),220162,142886,31907,13023,12484,2402,48069,72597,39859,14.49%,5.92%,5.67%,1.09%,21.83%,32.97%,18.1%,43911,34709,20591,8305,1877,404,30,19.94%,15.77%,9.35%,3.77%,0.85%,0.18%,0.01%,33059,15.02%,08
Dungarpur (26),298430,253089,131528,14498,13499,3666,204402,148134,70004,44.07%,4.86%,4.52%,1.23%,68.49%,49.64%,23.46%,44893,77480,78840,29629,4752,1059,104,15.04%,25.96%,26.42%,9.93%,1.59%,0.35%,0.03%,16332,5.47%,08
Banswara (27),357369,305564,235117,13482,11332,3126,275568,199795,52716,65.79%,3.77%,3.17%,0.87%,77.11%,55.91%,14.75%,28427,89501,137099,36042,4443,917,75,7.95%,25.04%,38.36%,10.09%,1.24%,0.26%,0.02%,9060,2.54%,08
Chittaurgarh (28),277402,166297,53710,14553,14331,2901,72618,90596,57113,19.36%,5.25%,5.17%,1.05%,26.18%,32.66%,20.59%,46418,45731,31787,13218,2964,746,59,16.73%,16.49%,11.46%,4.76%,1.07%,0.27%,0.02%,25374,9.15%,08
Kota (29),170991,103774,27408,5342,4937,928,47039,42958,70731,16.03%,3.12%,2.89%,0.54%,27.51%,25.12%,41.37%,28899,33317,21483,7693,1328,291,29,16.9%,19.48%,12.56%,4.5%,0.78%,0.17%,0.02%,10734,6.28%,08
Baran (30),212554,120087,42575,7937,5689,1519,54444,57526,72858,20.03%,3.73%,2.68%,0.71%,25.61%,27.06%,34.28%,30016,37319,27360,10540,2032,517,56,14.12%,17.56%,12.87%,4.96%,0.96%,0.24%,0.03%,12247,5.76%,08
Jhalawar (31),260405,174107,66586,11262,9912,2470,64036,95251,90020,25.57%,4.32%,3.81%,0.95%,24.59%,36.58%,34.57%,47483,52019,35946,15163,2894,761,70,18.23%,19.98%,13.8%,5.82%,1.11%,0.29%,0.03%,19771,7.59%,08
Udaipur (32),546877,419958,201763,28873,23088,6744,294477,241868,113708,36.89%,5.28%,4.22%,1.23%,53.85%,44.23%,20.79%,81488,130013,117691,42353,7185,1576,163,14.9%,23.77%,21.52%,7.74%,1.31%,0.29%,0.03%,39489,7.22%,08
Pratapgarh (33),178064,137910,90355,8355,8057,2033,115487,86659,35906,50.74%,4.69%,4.52%,1.14%,64.86%,48.67%,20.16%,18685,37548,52931,18397,3043,818,81,10.49%,21.09%,29.73%,10.33%,1.71%,0.46%,0.05%,6407,3.6%,08
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,09
Central Zone Total,43325279,25332025,6932877,1572246,1374945,178560,9957103,10747265,11804447,16%,3.63%,3.17%,0.41%,22.98%,24.81%,27.25%,7484871,7130385,4178178,1528103,332557,79443,5059,17.28%,16.46%,9.64%,3.53%,0.77%,0.18%,0.01%,4593429,10.6%,09
State Total,26015592,13480570,2770940,642382,525404,52691,4328648,5279884,5753312,10.65%,2.47%,2.02%,0.2%,16.64%,20.3%,22.11%,4444985,3612217,1735381,484174,87266,16651,681,17.09%,13.88%,6.67%,1.86%,0.34%,0.06%,0%,3099215,11.91%,09
Saharanpur (01),418340,97507,2188,4411,2778,112,30324,46360,61587,0.52%,1.05%,0.66%,0.03%,7.25%,11.08%,14.72%,36259,34627,11690,1452,245,24,0,8.67%,8.28%,2.79%,0.35%,0.06%,0.01%,0%,13210,3.16%,09
Muzaffarnagar (02),502344,88888,1804,4460,2627,118,15344,34186,52429,0.36%,0.89%,0.52%,0.02%,3.05%,6.81%,10.44%,37657,24996,6028,1083,171,8,0,7.5%,4.98%,1.2%,0.22%,0.03%,0%,0%,18945,3.77%,09
Bijnor (03),495304,255469,13091,10931,7133,185,87247,102407,154965,2.64%,2.21%,1.44%,0.04%,17.61%,20.68%,31.29%,92239,87680,28614,4420,858,89,2,18.62%,17.7%,5.78%,0.89%,0.17%,0.02%,0%,41567,8.39%,09
Moradabad (04),521305,255150,32914,8699,7097,543,58744,147883,153203,6.31%,1.67%,1.36%,0.1%,11.27%,28.37%,29.39%,88457,91884,35489,6138,966,160,7,16.97%,17.63%,6.81%,1.18%,0.19%,0.03%,0%,32049,6.15%,09
Rampur (05),299340,86081,12562,4062,2485,58,11018,53792,28956,4.2%,1.36%,0.83%,0.02%,3.68%,17.97%,9.67%,34622,25089,7316,1332,157,12,0,11.57%,8.38%,2.44%,0.44%,0.05%,0%,0%,17553,5.86%,09
Jyotiba Phule Nagar (06),228537,55254,2936,2548,1638,405,7589,25392,14287,1.28%,1.11%,0.72%,0.18%,3.32%,11.11%,6.25%,25218,9540,2619,521,82,22,2,11.03%,4.17%,1.15%,0.23%,0.04%,0.01%,0%,17250,7.55%,09
Meerut (07),261180,104788,6644,4458,3604,395,31559,41716,82982,2.54%,1.71%,1.38%,0.15%,12.08%,15.97%,31.77%,36144,40751,13551,2464,558,63,5,13.84%,15.6%,5.19%,0.94%,0.21%,0.02%,0%,11252,4.31%,09
Baghpat (08),161232,47971,1129,2498,1382,136,6641,16171,24097,0.7%,1.55%,0.86%,0.08%,4.12%,10.03%,14.95%,19285,11604,2434,450,81,9,0,11.96%,7.2%,1.51%,0.28%,0.05%,0.01%,0%,14108,8.75%,09
Ghaziabad (09),295081,84188,2801,3461,3033,182,18784,28758,50035,0.95%,1.17%,1.03%,0.06%,6.37%,9.75%,16.96%,32810,24597,6364,1163,232,22,2,11.12%,8.34%,2.16%,0.39%,0.08%,0.01%,0%,18998,6.44%,09
Gautam Buddha Nagar (10),289590,37817,956,1630,1309,135,9592,11350,15441,0.33%,0.56%,0.45%,0.05%,3.31%,3.92%,5.33%,12839,8475,2664,509,94,21,0,4.43%,2.93%,0.92%,0.18%,0.03%,0.01%,0%,13215,4.56%,09
Bulandshahr (11),427475,181472,10250,9633,9255,644,58511,67841,116631,2.4%,2.25%,2.17%,0.15%,13.69%,15.87%,27.28%,61746,58429,22884,4612,1234,138,9,14.44%,13.67%,5.35%,1.08%,0.29%,0.03%,0%,32420,7.58%,09
Aligarh (12),418563,202083,12031,9158,8150,651,64065,75134,123926,2.87%,2.19%,1.95%,0.16%,15.31%,17.95%,29.61%,72251,63149,23847,4265,1023,130,10,17.26%,15.09%,5.7%,1.02%,0.24%,0.03%,0%,37408,8.94%,09
Mahamaya Nagar (13),199901,64746,3623,3255,2522,131,17881,23463,41934,1.81%,1.63%,1.26%,0.07%,8.94%,11.74%,20.98%,25014,19349,7403,1363,241,35,3,12.51%,9.68%,3.7%,0.68%,0.12%,0.02%,0%,11338,5.67%,09
Mathura (14),294772,102641,6652,5073,4971,525,29007,35791,65506,2.26%,1.72%,1.69%,0.18%,9.84%,12.14%,22.22%,37583,31268,12042,2204,415,59,5,12.75%,10.61%,4.09%,0.75%,0.14%,0.02%,0%,19065,6.47%,09
Agra (15),375187,131222,7977,4670,4042,286,30476,34389,54585,2.13%,1.24%,1.08%,0.08%,8.12%,9.17%,14.55%,40448,27832,10228,1930,335,39,0,10.78%,7.42%,2.73%,0.51%,0.09%,0.01%,0%,50410,13.44%,09
Firozabad (16),265386,127649,15683,5102,4602,549,33963,40718,62691,5.91%,1.92%,1.73%,0.21%,12.8%,15.34%,23.62%,42707,32264,13638,2943,553,99,4,16.09%,12.16%,5.14%,1.11%,0.21%,0.04%,0%,35441,13.35%,09
Mainpuri (17),258844,140767,31128,5456,4417,802,37199,35460,33551,12.03%,2.11%,1.71%,0.31%,14.37%,13.7%,12.96%,45380,27029,11020,3121,500,85,3,17.53%,10.44%,4.26%,1.21%,0.19%,0.03%,0%,53629,20.72%,09
Budaun (18),480817,262041,51999,11545,8901,402,56174,147169,95367,10.81%,2.4%,1.85%,0.08%,11.68%,30.61%,19.83%,96341,72557,31504,7147,1195,170,1,20.04%,15.09%,6.55%,1.49%,0.25%,0.04%,0%,53126,11.05%,09
Bareilly (19),475247,193904,29503,7830,5824,653,35938,105064,106301,6.21%,1.65%,1.23%,0.14%,7.56%,22.11%,22.37%,69133,62798,23918,5022,776,108,2,14.55%,13.21%,5.03%,1.06%,0.16%,0.02%,0%,32147,6.76%,09
Pilibhit (20),303726,205875,46889,7513,5588,944,50515,101657,99405,15.44%,2.47%,1.84%,0.31%,16.63%,33.47%,32.73%,68591,64695,27659,6418,958,169,11,22.58%,21.3%,9.11%,2.11%,0.32%,0.06%,0%,37374,12.31%,09
Shahjahanpur (21),405601,258115,79126,11201,6900,713,56672,112813,132985,19.51%,2.76%,1.7%,0.18%,13.97%,27.81%,32.79%,83403,74831,39266,10367,1403,175,2,20.56%,18.45%,9.68%,2.56%,0.35%,0.04%,0%,48668,12%,09
Kheri (22),640850,413039,168584,18218,13722,1470,155242,184429,210232,26.31%,2.84%,2.14%,0.23%,24.22%,28.78%,32.81%,115898,127637,84826,26110,3511,683,22,18.09%,19.92%,13.24%,4.07%,0.55%,0.11%,0%,54352,8.48%,09
Sitapur (23),714977,490453,227969,24901,15956,1887,218075,222407,179991,31.88%,3.48%,2.23%,0.26%,30.5%,31.11%,25.17%,137015,149386,97651,33620,4459,895,43,19.16%,20.89%,13.66%,4.7%,0.62%,0.13%,0.01%,67384,9.42%,09
Hardoi (24),617677,338622,107009,16360,11235,1861,132388,127398,102566,17.32%,2.65%,1.82%,0.3%,21.43%,20.63%,16.61%,111830,91765,45241,13473,2288,391,8,18.1%,14.86%,7.32%,2.18%,0.37%,0.06%,0%,73626,11.92%,09
Unnao (25),481545,305060,78062,17556,13293,1547,119090,114443,106015,16.21%,3.65%,2.76%,0.32%,24.73%,23.77%,22.02%,101863,81985,39965,12072,2564,498,26,21.15%,17.03%,8.3%,2.51%,0.53%,0.1%,0.01%,66087,13.72%,09
Lucknow (26),278203,158689,39259,9449,7326,1035,81014,70116,64812,14.11%,3.4%,2.63%,0.37%,29.12%,25.2%,23.3%,47996,48965,27248,8666,1679,364,14,17.25%,17.6%,9.79%,3.11%,0.6%,0.13%,0.01%,23757,8.54%,09
Rae Bareli (27),569800,357067,100637,22978,20000,2044,149533,136023,148292,17.66%,4.03%,3.51%,0.36%,26.24%,23.87%,26.03%,107214,96810,56136,20553,4322,1019,47,18.82%,16.99%,9.85%,3.61%,0.76%,0.18%,0.01%,70966,12.45%,09
Farrukhabad (28),249331,152370,28239,5439,4760,640,34387,55810,69059,11.33%,2.18%,1.91%,0.26%,13.79%,22.38%,27.7%,50257,37840,17586,4002,604,89,11,20.16%,15.18%,7.05%,1.61%,0.24%,0.04%,0%,41981,16.84%,09
Kannauj (29),237103,144763,42643,5378,4708,863,38755,44109,45353,17.99%,2.27%,1.99%,0.36%,16.35%,18.6%,19.13%,45103,32408,16128,4723,741,141,9,19.02%,13.67%,6.8%,1.99%,0.31%,0.06%,0%,45510,19.19%,09
Etawah (30),213944,123952,27284,5234,3568,421,42727,30262,42315,12.75%,2.45%,1.67%,0.2%,19.97%,14.14%,19.78%,39380,28255,13005,3363,584,82,6,18.41%,13.21%,6.08%,1.57%,0.27%,0.04%,0%,39277,18.36%,09
Auraiya (31),209864,127431,34021,5243,3679,424,44435,30068,48045,16.21%,2.5%,1.75%,0.2%,21.17%,14.33%,22.89%,39340,30089,15126,4198,669,140,6,18.75%,14.34%,7.21%,2%,0.32%,0.07%,0%,37863,18.04%,09
Kanpur Dehat (32),310765,190647,36569,9334,6467,1780,63688,51043,94762,11.77%,3%,2.08%,0.57%,20.49%,16.42%,30.49%,59139,49161,24148,6489,1252,242,10,19.03%,15.82%,7.77%,2.09%,0.4%,0.08%,0%,50206,16.16%,09
Kanpur Nagar (33),289213,175029,28295,8827,5479,634,52826,47842,73400,9.78%,3.05%,1.89%,0.22%,18.27%,16.54%,25.38%,53412,39396,19367,5079,1047,226,13,18.47%,13.62%,6.7%,1.76%,0.36%,0.08%,0%,56489,19.53%,09
Jalaun (34),211977,109402,12202,5527,2902,562,42572,27838,42896,5.76%,2.61%,1.37%,0.27%,20.08%,13.13%,20.24%,37850,26468,10151,2463,545,108,5,17.86%,12.49%,4.79%,1.16%,0.26%,0.05%,0%,31812,15.01%,09
Jhansi (35),212906,95188,10595,6187,3220,922,39315,30835,31441,4.98%,2.91%,1.51%,0.43%,18.47%,14.48%,14.77%,35485,23029,9028,2510,599,134,7,16.67%,10.82%,4.24%,1.18%,0.28%,0.06%,0%,24396,11.46%,09
Lalitpur (36),186311,75974,16672,5412,3371,375,28874,39035,21192,8.95%,2.9%,1.81%,0.2%,15.5%,20.95%,11.37%,24605,19781,10214,3806,787,157,3,13.21%,10.62%,5.48%,2.04%,0.42%,0.08%,0%,16621,8.92%,09
Hamirpur (37),174857,104900,6890,7033,3358,676,28405,33413,48344,3.94%,4.02%,1.92%,0.39%,16.24%,19.11%,27.65%,38068,24854,9206,2249,589,126,4,21.77%,14.21%,5.26%,1.29%,0.34%,0.07%,0%,29804,17.04%,09
Mahoba (38),127389,67432,7810,5086,2519,246,23753,30206,26913,6.13%,3.99%,1.98%,0.19%,18.65%,23.71%,21.13%,23553,18564,7950,2204,502,108,4,18.49%,14.57%,6.24%,1.73%,0.39%,0.08%,0%,14547,11.42%,09
Banda (39),269240,178662,14372,11083,6293,508,38606,52730,89652,5.34%,4.12%,2.34%,0.19%,14.34%,19.58%,33.3%,66065,39678,15259,3922,1022,194,12,24.54%,14.74%,5.67%,1.46%,0.38%,0.07%,0%,52510,19.5%,09
Chitrakoot (40),152132,106996,11170,6518,4342,404,32168,44870,44644,7.34%,4.28%,2.85%,0.27%,21.14%,29.49%,29.35%,34932,26782,12688,3279,728,124,8,22.96%,17.6%,8.34%,2.16%,0.48%,0.08%,0.01%,28455,18.7%,09
Fatehpur (41),415053,263592,42640,14265,11095,1397,88815,92779,128121,10.27%,3.44%,2.67%,0.34%,21.4%,22.35%,30.87%,82927,67610,35574,9955,2175,554,32,19.98%,16.29%,8.57%,2.4%,0.52%,0.13%,0.01%,64765,15.6%,09
Pratapgarh (42),494720,265385,53665,14998,13600,969,90932,94087,98650,10.85%,3.03%,2.75%,0.2%,18.38%,19.02%,19.94%,82338,62839,33145,11042,2429,503,17,16.64%,12.7%,6.7%,2.23%,0.49%,0.1%,0%,73072,14.77%,09
Kaushambi (43),255994,155026,16452,10250,7187,462,65688,78821,78571,6.43%,4%,2.81%,0.18%,25.66%,30.79%,30.69%,44249,40578,29211,7769,1933,590,16,17.29%,15.85%,11.41%,3.03%,0.76%,0.23%,0.01%,30680,11.98%,09
Allahabad (44),705588,349900,62067,18824,12724,1156,132205,141224,187546,8.8%,2.67%,1.8%,0.16%,18.74%,20.02%,26.58%,102602,94061,56860,17767,3647,825,27,14.54%,13.33%,8.06%,2.52%,0.52%,0.12%,0%,74111,10.5%,09
Bara Banki (45),533550,316145,108739,18445,13253,1978,126060,156315,130486,20.38%,3.46%,2.48%,0.37%,23.63%,29.3%,24.46%,90972,97788,57773,18773,3170,713,27,17.05%,18.33%,10.83%,3.52%,0.59%,0.13%,0.01%,46929,8.8%,09
