District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,09
Central Zone Total,43325279,131151553.98,22735210,52.48%,20588684,47.52%,42711554.85,32.57%,62876752.75,47.94%,25565605.81,19.49%,2229898,5.15%,6276443,14.49%,2852142,6.58%,09
State Total,26015592,75704809.84,14365324,55.22%,11649175,44.78%,16192140.35,21.39%,43837940.73,57.91%,15677088.19,20.71%,1652491,6.35%,4308372,16.56%,1939619,7.46%,09
Saharanpur (01),418340,680989.92,107190,25.62%,311150,74.38%,142504.02,20.93%,498289.77,73.17%,40196.12,5.9%,57410,13.72%,78209,18.7%,69159,16.53%,09
Muzaffarnagar (02),502344,1517312.95,152477,30.35%,349788,69.63%,96125.07,6.34%,1390511.69,91.64%,31359.65,2.07%,67807,13.5%,89145,17.75%,66373,13.21%,09
Bijnor (03),495304,3318787.98,177582,35.85%,317722,64.15%,62985.73,1.9%,822405.65,24.78%,2433396.6,73.32%,34115,6.89%,70105,14.15%,73975,14.94%,09
Moradabad (04),521305,733125.68,239437,45.93%,281868,54.07%,83645.5,11.41%,582908.14,79.51%,66572.05,9.08%,55681,10.68%,132940,25.5%,61978,11.89%,09
Rampur (05),299340,455938.12,127355,42.55%,171981,57.45%,115200.88,25.27%,308335.62,67.63%,32402.63,7.11%,17636,5.89%,52429,17.51%,23441,7.83%,09
Jyotiba Phule Nagar (06),228537,640892.12,37575,16.44%,190962,83.56%,267211.02,41.69%,334133.01,52.14%,39548.1,6.17%,7863,3.44%,20004,8.75%,12763,5.58%,09
Meerut (07),261180,675324.84,105212,40.28%,155968,59.72%,148572.46,22%,352578.9,52.21%,174173.47,25.79%,26565,10.17%,53306,20.41%,43332,16.59%,09
Baghpat (08),161232,828566.4,57352,35.57%,103869,64.42%,278702.53,33.64%,299329.68,36.13%,250534.18,30.24%,24387,15.13%,32315,20.04%,20625,12.79%,09
Ghaziabad (09),295081,621383.7,96687,32.77%,198394,67.23%,203464.06,32.74%,321158.21,51.68%,96761.43,15.57%,29689,10.06%,49622,16.82%,36894,12.5%,09
Gautam Buddha Nagar (10),289590,905295.27,56508,19.51%,232529,80.3%,293134.23,32.38%,441357.17,48.75%,170803.86,18.87%,22259,7.69%,30191,10.43%,19423,6.71%,09
Bulandshahr (11),427475,825466.5,224146,52.43%,203329,47.57%,197304.38,23.9%,513174.74,62.17%,114987.37,13.93%,35036,8.2%,93775,21.94%,69227,16.19%,09
Aligarh (12),418563,883250.08,215294,51.44%,203269,48.56%,205508.3,23.27%,547458.35,61.98%,130283.43,14.75%,25025,5.98%,85674,20.47%,48459,11.58%,09
Mahamaya Nagar (13),199901,534556.36,85234,42.64%,114667,57.36%,167945.93,31.42%,247001.8,46.21%,119608.63,22.38%,21515,10.76%,33032,16.52%,28961,14.49%,09
Mathura (14),294772,823994.91,146271,49.62%,148501,50.38%,236110.38,28.65%,444004.21,53.88%,143880.32,17.46%,28820,9.78%,65732,22.3%,36829,12.49%,09
Agra (15),375187,594635.77,183350,48.87%,191756,51.11%,177698.72,29.88%,322376.77,54.21%,94560.56,15.9%,41006,10.93%,85902,22.9%,58192,15.51%,09
Firozabad (16),265386,619497.8,153111,57.69%,112275,42.31%,150647.42,24.32%,384330.54,62.04%,84519.84,13.64%,12199,4.6%,26980,10.17%,19382,7.3%,09
Mainpuri (17),258844,591705.14,171851,66.39%,86993,33.61%,144816.61,24.47%,393556.97,66.51%,55005.56,9.3%,12575,4.86%,45156,17.45%,13979,5.4%,09
Budaun (18),480817,1711257.74,296889,61.75%,183928,38.25%,311804.31,18.22%,668978.32,39.09%,730475.11,42.69%,32799,6.82%,129397,26.91%,39700,8.26%,09
Bareilly (19),475247,1133659.12,218013,45.87%,257234,54.13%,327041.22,28.85%,516947.26,45.6%,289670.64,25.55%,29182,6.14%,106801,22.47%,37073,7.8%,09
Pilibhit (20),303726,540849.1,178238,58.68%,125488,41.32%,64989.26,12.02%,407095.05,75.27%,68764.79,12.71%,21031,6.92%,71937,23.68%,27295,8.99%,09
Shahjahanpur (21),405601,693762.72,194784,48.02%,210817,51.98%,144133.23,20.78%,462600.76,66.68%,87028.73,12.54%,25750,6.35%,90006,22.19%,29450,7.26%,09
Kheri (22),640850,1161204.13,359553,56.11%,281297,43.89%,282716.92,24.35%,698598.69,60.16%,179888.52,15.49%,43610,6.81%,125281,19.55%,61647,9.62%,09
Sitapur (23),714977,1068298.64,455521,63.71%,259456,36.29%,173005.08,16.19%,750286.73,70.23%,145006.83,13.57%,41137,5.75%,153991,21.54%,33604,4.7%,09
Hardoi (24),617677,1730102.49,389595,63.07%,228082,36.93%,377823.02,21.84%,1003383.54,58%,348895.92,20.17%,37994,6.15%,109155,17.67%,47742,7.73%,09
Unnao (25),481545,663623.58,304120,63.16%,177424,36.84%,102875.2,15.5%,470334.65,70.87%,90413.73,13.62%,20992,4.36%,89930,18.68%,24121,5.01%,09
Lucknow (26),278203,429795.57,159524,57.34%,118679,42.66%,119766.02,27.87%,250372.07,58.25%,59657.49,13.88%,10623,3.82%,37937,13.64%,9530,3.43%,09
Rae Bareli (27),569800,760619.02,344212,60.41%,225588,39.59%,122329.02,16.08%,534925.42,70.33%,103364.58,13.59%,19147,3.36%,71868,12.61%,23231,4.08%,09
Farrukhabad (28),249331,524883.72,143663,57.62%,105668,42.38%,182265.03,34.72%,279473.28,53.24%,63145.42,12.03%,15099,6.06%,50542,20.27%,21978,8.81%,09
Kannauj (29),237103,436823.14,166441,70.2%,70661,29.8%,74594.93,17.08%,275423.68,63.05%,86804.63,19.87%,10559,4.45%,41585,17.54%,24300,10.25%,09
Etawah (30),213944,1049563.07,138169,64.58%,75770,35.42%,371591.69,35.4%,399837.52,38.1%,278133.87,26.5%,7923,3.7%,24240,11.33%,13905,6.5%,09
Auraiya (31),209864,1860620.44,120391,57.37%,89473,42.63%,180385.56,9.69%,585029.2,31.44%,1095206.29,58.86%,9333,4.45%,19560,9.32%,10004,4.77%,09
Kanpur Dehat (32),310765,630280.3,163799,52.71%,146966,47.29%,143918,22.83%,363151.79,57.62%,123210.5,19.55%,12020,3.87%,31490,10.13%,19709,6.34%,09
Kanpur Nagar (33),289213,5821960.55,106139,36.7%,183074,63.3%,221930.47,3.81%,5419749.15,93.09%,180280.93,3.1%,11148,3.85%,29299,10.13%,16258,5.62%,09
Jalaun (34),211977,1497270.93,138593,65.38%,73384,34.62%,883886.78,59.03%,461518.43,30.82%,151865.73,10.14%,20347,9.6%,27621,13.03%,25740,12.14%,09
Jhansi (35),212906,1695927.54,143460,67.38%,69446,32.62%,516747.63,30.47%,981142.37,57.85%,198037.55,11.68%,25289,11.88%,47117,22.13%,52123,24.48%,09
Lalitpur (36),186311,1132940.98,141070,75.72%,45241,24.28%,417451.27,36.85%,568816.84,50.21%,146672.87,12.95%,20772,11.15%,61009,32.75%,46298,24.85%,09
Hamirpur (37),174857,630582.1,109140,62.42%,65717,37.58%,249743.23,39.61%,214157.52,33.96%,166681.35,26.43%,8605,4.92%,14620,8.36%,22713,12.99%,09
Mahoba (38),127389,551752.77,88761,69.68%,38628,30.32%,269412.25,48.83%,158911.91,28.8%,123428.61,22.37%,8977,7.05%,28255,22.18%,21128,16.59%,09
Banda (39),269240,638524.76,125004,46.43%,144236,53.57%,311480.72,48.78%,178450.51,27.95%,148593.53,23.27%,9678,3.59%,16196,6.02%,21082,7.83%,09
Chitrakoot (40),152132,445145.33,85376,56.12%,66756,43.88%,200925.76,45.14%,148043.71,33.26%,96175.86,21.61%,4608,3.03%,10424,6.85%,9557,6.28%,09
Fatehpur (41),415053,564316.41,220616,53.15%,194437,46.85%,90871.34,16.1%,409369.84,72.54%,64075.23,11.35%,13670,3.29%,35740,8.61%,18513,4.46%,09
Pratapgarh (42),494720,1838739.3,321626,65.01%,173092,34.99%,230507.73,12.54%,1157673.78,62.96%,450557.79,24.5%,17053,3.45%,60636,12.26%,15983,3.23%,09
Kaushambi (43),255994,857293.93,91979,35.93%,164015,64.07%,205719.39,24%,358559.9,41.82%,293014.64,34.18%,6078,2.37%,9480,3.7%,7089,2.77%,09
Allahabad (44),705588,5045259.49,333315,47.24%,372273,52.76%,1776317.59,35.21%,1859957.74,36.87%,1408984.16,27.93%,43847,6.21%,77272,10.95%,27390,3.88%,09
Bara Banki (45),533550,813455.41,317726,59.55%,215824,40.45%,138810.22,17.06%,566649.01,69.66%,107996.18,13.28%,37368,7%,138325,25.93%,50211,9.41%,09
Faizabad (46),377144,415301.17,252727,67.01%,124417,32.99%,50164.46,12.08%,316643.67,76.24%,48493.04,11.68%,17142,4.55%,74726,19.81%,16089,4.27%,09
Ambedkar Nagar (47),322410,519264.53,233487,72.42%,88922,27.58%,92069.59,17.73%,349887.64,67.38%,77307.29,14.89%,24180,7.5%,70017,21.72%,18200,5.64%,09
Sultanpur (48),563089,1422114.13,326469,57.98%,236620,42.02%,247520.57,17.41%,873313.92,61.41%,301279.65,21.19%,26706,4.74%,69803,12.4%,28057,4.98%,09
Bahraich (49),541484,988777.32,283442,52.35%,258040,47.65%,294312.04,29.77%,562481.61,56.89%,131983.68,13.35%,21932,4.05%,56288,10.4%,22947,4.24%,09
Shrawasti (50),179481,463018.52,122224,68.1%,57257,31.9%,126042.93,27.22%,247143.23,53.38%,89832.36,19.4%,14082,7.85%,41223,22.97%,10290,5.73%,09
Balrampur (51),293520,541365.4,173040,58.95%,120480,41.05%,184545.13,34.09%,271625.39,50.17%,85194.87,15.74%,25404,8.65%,52741,17.97%,11822,4.03%,09
Gonda (52),523254,750007.4,371510,71%,151738,29%,116717.94,15.56%,538691.92,71.82%,94597.54,12.61%,41362,7.9%,137266,26.23%,35107,6.71%,09
Siddharthnagar (53),382311,559637.77,258514,67.62%,123761,32.37%,96368.39,17.22%,412034.22,73.63%,51235.17,9.16%,29981,7.84%,69029,18.06%,13362,3.5%,09
Basti (54),385828,583138.73,264692,68.6%,121134,31.4%,107053.21,18.36%,399450.65,68.5%,76634.86,13.14%,34187,8.86%,86885,22.52%,19075,4.94%,09
Sant Kabir Nagar (55),243670,358907.23,146859,60.27%,96811,39.73%,70632.62,19.68%,211696.69,58.98%,76577.91,21.34%,16358,6.71%,38225,15.69%,8395,3.45%,09
Mahrajganj (56),407828,602929.08,333080,81.67%,74748,18.33%,100075.79,16.6%,449472.89,74.55%,53380.39,8.85%,26267,6.44%,71580,17.55%,19512,4.78%,09
Gorakhpur (57),599152,602561.97,314766,52.54%,284386,47.46%,123249.19,20.45%,392985.3,65.22%,86327.49,14.33%,32678,5.45%,73230,12.22%,16150,2.7%,09
Kushinagar (58),574969,580451.6,436299,75.88%,138670,24.12%,83755.18,14.43%,428199.38,73.77%,68497.04,11.8%,20005,3.48%,44182,7.68%,16351,2.84%,09
Deoria (59),450667,743661.38,337216,74.83%,113451,25.17%,182580.94,24.55%,461047.36,62%,100033.08,13.45%,22553,5%,59234,13.14%,14580,3.24%,09
Azamgarh (60),615199,6091619.68,450490,73.23%,164567,26.75%,149500.38,2.45%,4941025.48,81.11%,1001093.82,16.43%,34810,5.66%,131957,21.45%,45699,7.43%,09
Mau (61),262251,1097928.73,159297,60.74%,102907,39.24%,299324.45,27.26%,572444.6,52.14%,226159.68,20.6%,8798,3.35%,30086,11.47%,10652,4.06%,09
Ballia (62),426709,753655.33,183394,42.98%,243315,57.02%,209832.1,27.84%,356347.27,47.28%,187475.96,24.88%,12611,2.96%,41425,9.71%,18723,4.39%,09
Jaunpur (63),596098,1320023.1,361105,60.58%,234992,39.42%,389112.83,29.48%,776573.2,58.83%,154337.07,11.69%,36119,6.06%,129017,21.64%,44108,7.4%,09
Ghazipur (64),476147,2052576.96,273912,57.53%,202235,42.47%,642438.48,31.3%,891458.43,43.43%,518680.04,25.27%,24300,5.1%,51106,10.73%,27979,5.88%,09
Chandauli (65),265851,361483.4,95477,35.91%,170374,64.09%,83587.28,23.12%,221419.58,61.25%,56476.54,15.62%,10466,3.94%,17545,6.6%,8282,3.12%,09
Varanasi (66),343657,1169905.63,148925,43.34%,194732,56.66%,336890.02,28.8%,563748.15,48.19%,269267.46,23.02%,12586,3.66%,27547,8.02%,8591,2.5%,09
Sant Ravidas Nagar (Bhadohi) (67),191630,249617.71,85074,44.39%,106556,55.61%,78052.78,31.27%,135129.56,54.13%,36435.37,14.6%,7825,4.08%,14840,7.74%,5675,2.96%,09
Mirzapur (68),340748,505464.12,128881,37.82%,211864,62.18%,154074.38,30.48%,254297.19,50.31%,97092.55,19.21%,19303,5.66%,34947,10.26%,15649,4.59%,09
Sonbhadra (69),288433,766475.08,128616,44.59%,159701,55.37%,304695.71,39.75%,241655.2,31.53%,220124.17,28.72%,20947,7.26%,28296,9.81%,10914,3.78%,09
Etah (70),241868,579872.32,171434,70.88%,70434,29.12%,151162.22,26.07%,349970.86,60.35%,78739.23,13.58%,16647,6.88%,57482,23.77%,18659,7.71%,09
Kanshiram Nagar (71),191433,445815.73,132045,68.98%,59388,31.02%,53761.63,12.06%,266847.45,59.86%,125206.65,28.08%,11015,5.75%,45464,23.75%,14385,7.51%,09
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,10
East Zone Total,47307665,426395262.53,18029571,38.11%,29274316,61.88%,170431759.31,39.97%,169473851.59,39.75%,86515103.76,20.29%,799016,1.69%,1916362,4.05%,807905,1.71%,10
State Total,17829066,307665291.25,6133581,34.4%,11692246,65.58%,116907991.79,38%,123538336.58,40.15%,67244258.56,21.86%,444393,2.49%,918035,5.15%,422588,2.37%,10
Pashchim Champaran (01),681326,19878700.27,227165,33.34%,453721,66.59%,7434948.76,37.4%,8430767.78,42.41%,4013155.8,20.19%,18531,2.72%,28457,4.18%,19320,2.84%,10
Purba Champaran (02),917790,3885842.43,264488,28.82%,653230,71.17%,1472629.04,37.9%,1780776.04,45.83%,632701.3,16.28%,28228,3.08%,40208,4.38%,26137,2.85%,10
Sheohar (03),149211,1459262.81,45864,30.74%,103347,69.26%,884393.97,60.61%,396375.54,27.16%,178496.33,12.23%,2921,1.96%,4756,3.19%,2697,1.81%,10
Sitamarhi (04),725723,9653971.69,240760,33.18%,484901,66.82%,3483351.1,36.08%,3349787.27,34.7%,2820837.65,29.22%,15931,2.2%,23317,3.21%,14377,1.98%,10
Madhubani (05),886810,1868335.01,263345,29.7%,623356,70.29%,680286.64,36.41%,666731.8,35.69%,521380.82,27.91%,12520,1.41%,26091,2.94%,11532,1.3%,10
Supaul (06),455280,1042768.12,181662,39.9%,273446,60.06%,421973.26,40.47%,386048.55,37.02%,234944.1,22.53%,9002,1.98%,18106,3.98%,10696,2.35%,10
Araria (07),595834,1239861.69,180823,30.35%,415007,69.65%,561362.46,45.28%,513725.57,41.43%,164774.46,13.29%,11751,1.97%,22658,3.8%,10349,1.74%,10
Kishanganj (08),308989,356019.42,71078,23%,237911,77%,180207.32,50.62%,124091.45,34.86%,51728.65,14.53%,5078,1.64%,9425,3.05%,5526,1.79%,10
Purnia (09),591936,5817634.73,179286,30.29%,412637,69.71%,3390474.61,58.28%,1629685.66,28.01%,797474.67,13.71%,13628,2.3%,29836,5.04%,12474,2.11%,10
Katihar (10),582089,1790531.49,146386,25.15%,435699,74.85%,741472.38,41.41%,696144.73,38.88%,352917.78,19.71%,13861,2.38%,35806,6.15%,11498,1.98%,10
Madhepura (11),402414,65007014.8,186267,46.29%,216130,53.71%,27241385.91,41.91%,23267611.68,35.79%,14498038.02,22.3%,8512,2.12%,15994,3.97%,7282,1.81%,10
Saharsa (12),351154,441238.5,112479,32.03%,238657,67.96%,209151.99,47.4%,154027.27,34.91%,78094.16,17.7%,6391,1.82%,10594,3.02%,4279,1.22%,10
Darbhanga (13),817164,1930991.56,213478,26.12%,603675,73.87%,694100.12,35.95%,788970.85,40.86%,447967.53,23.2%,10434,1.28%,19211,2.35%,10253,1.25%,10
Muzaffarpur (14),876341,79481657.13,339696,38.76%,535873,61.15%,32097859.74,40.38%,34999497.73,44.03%,12404239.44,15.61%,18715,2.14%,32723,3.73%,20334,2.32%,10
Gopalganj (15),389899,5839676.58,256516,65.79%,133369,34.21%,484683.64,8.3%,2184810.61,37.41%,3170188.61,54.29%,10468,2.68%,17578,4.51%,10209,2.62%,10
Siwan (16),519048,1200539.75,323867,62.4%,195176,37.6%,257194.71,21.42%,692309.61,57.67%,251061.36,20.91%,13147,2.53%,20906,4.03%,10360,2%,10
Saran (17),577746,4469481.71,332542,57.56%,245173,42.44%,1016966.27,22.75%,2600775.63,58.19%,851762.67,19.06%,11477,1.99%,21168,3.66%,7670,1.33%,10
Vaishali (18),629950,5176167.31,190359,30.22%,439586,69.78%,1632947.45,31.55%,1877358.45,36.27%,1665873.01,32.18%,9099,1.44%,16897,2.68%,10199,1.62%,10
Samastipur (19),831029,2310615.16,320383,38.55%,510638,61.45%,815991.17,35.31%,1211965.96,52.45%,282708.07,12.24%,15000,1.8%,40798,4.91%,24992,3.01%,10
Begusarai (20),491437,2379878.94,123269,25.08%,368167,74.92%,597289.93,25.1%,948025.45,39.84%,834563.76,35.07%,10366,2.11%,21089,4.29%,15678,3.19%,10
Khagaria (21),347924,2933486.96,76670,22.04%,271251,77.96%,1097512.46,37.41%,1167029.37,39.78%,668952.12,22.8%,6921,1.99%,11615,3.34%,6466,1.86%,10
Bhagalpur (22),468355,2963248.96,111176,23.74%,356078,76.03%,1135877.74,38.33%,1004217.92,33.89%,823153.3,27.78%,7536,1.61%,16653,3.56%,7825,1.67%,10
Banka (23),384455,1708159.77,156808,40.79%,227647,59.21%,607464.18,35.56%,530068.5,31.03%,570628.19,33.41%,9641,2.51%,23546,6.12%,8802,2.29%,10
Munger (24),201233,431015.33,42654,21.2%,158579,78.8%,214786.79,49.83%,169458.73,39.32%,46778.06,10.85%,1741,0.87%,4977,2.47%,2718,1.35%,10
Lakhisarai (25),141284,467235.43,31373,22.21%,109911,77.79%,211750.86,45.32%,145206.79,31.08%,110292.29,23.61%,4525,3.2%,7625,5.4%,2876,2.04%,10
Sheikhpura (26),91847,858956.42,31539,34.34%,60307,65.66%,488456.39,56.87%,277872.48,32.35%,92627.55,10.78%,1978,2.15%,6268,6.82%,1613,1.76%,10
Nalanda (27),462838,3308074.52,157712,34.07%,305125,65.92%,1188776.71,35.94%,1541035.17,46.58%,578263.8,17.48%,20469,4.42%,59197,12.79%,14665,3.17%,10
Patna (28),690850,1037820.15,126426,18.3%,564420,81.7%,390176.26,37.6%,322962.45,31.12%,324682.15,31.29%,19582,2.83%,38087,5.51%,14703,2.13%,10
Bhojpur (29),419641,1584243.49,115212,27.45%,304399,72.54%,481284.3,30.38%,786818.49,49.67%,316170.08,19.96%,12325,2.94%,27307,6.51%,12413,2.96%,10
Buxar (30),238210,868183.3,70673,29.67%,167535,70.33%,269367.45,31.03%,404273.76,46.57%,194543.09,22.41%,9340,3.92%,19472,8.17%,8689,3.65%,10
Kaimur Bhabua (31),241516,627279.98,95487,39.54%,146029,60.46%,170578.09,27.19%,330591.08,52.7%,126114.89,20.11%,16958,7.02%,30880,12.79%,13590,5.63%,10
Rohtas (32),409854,2431097.68,157637,38.46%,252134,61.52%,600480.86,24.7%,1181727.07,48.61%,649325.82,26.71%,20261,4.94%,40337,9.84%,19928,4.86%,10
Aurangabad (33),366898,2558379.04,137505,37.48%,229390,62.52%,681575.96,26.64%,1059920.41,41.43%,816941.4,31.93%,14239,3.88%,27416,7.47%,14563,3.97%,10
Gaya (34),659015,4323168.93,255336,38.75%,403663,61.25%,1829285.74,42.31%,1612403.48,37.3%,881521.4,20.39%,26309,3.99%,68971,10.47%,22578,3.43%,10
Nawada (35),349738,45513998.6,121929,34.86%,227797,65.13%,15941863.82,35.03%,18990862.4,41.73%,10585015.78,23.26%,7447,2.13%,22255,6.36%,7894,2.26%,10
Jamui (36),292670,19107010.75,142487,48.69%,150054,51.27%,6719977.08,35.17%,6493645.73,33.99%,5893447.99,30.84%,7314,2.5%,18120,6.19%,7164,2.45%,10
Jehanabad (37),164924,1285457.45,60199,36.5%,104716,63.49%,447074.58,34.78%,622541.09,48.43%,215841.78,16.79%,8336,5.05%,26420,16.02%,6914,4.19%,10
Arwal (38),116644,428285.39,43045,36.9%,73512,63.02%,133032.05,31.06%,198214.03,46.28%,97050.68,22.66%,4411,3.78%,13271,11.38%,3325,2.85%,10
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,11
North Eastern Zone Total,8061458,116958378.27,3312635,41.09%,4748710,58.91%,70295845.73,60.1%,26824664.81,22.94%,19837883.57,16.96%,111149,1.38%,249098,3.09%,73684,0.91%,11
State Total,88723,602512.36,53399,60.19%,35324,39.81%,313541.27,52.04%,58127.64,9.65%,230843.46,38.31%,470,0.53%,647,0.73%,1080,1.22%,11
North  District (01),6550,7765.81,3718,56.76%,2832,43.24%,3501.16,45.08%,3124.1,40.23%,1140.56,14.69%,16,0.24%,18,0.27%,23,0.35%,11
West District (02),26267,425192.22,18956,72.17%,7311,27.83%,214987.92,50.56%,20579.7,4.84%,189624.6,44.6%,62,0.24%,331,1.26%,192,0.73%,11
South District (03),24429,74220.95,15953,65.3%,8476,34.7%,28911.47,38.95%,25569.3,34.45%,19740.18,26.6%,290,1.19%,176,0.72%,716,2.93%,11
East District (04),31477,95333.38,14772,46.93%,16705,53.07%,66140.72,69.38%,8854.54,9.29%,20338.12,21.33%,102,0.32%,122,0.39%,149,0.47%,11
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,12
North Eastern Zone Total,8061458,116958378.27,3312635,41.09%,4748710,58.91%,70295845.73,60.1%,26824664.81,22.94%,19837883.57,16.96%,111149,1.38%,249098,3.09%,73684,0.91%,12
State Total,201842,960603.35,112795,55.88%,89047,44.12%,596548.14,62.1%,180778.23,18.82%,183287.49,19.08%,1471,0.73%,1531,0.76%,1014,0.5%,12
Tawang (01),8247,3023.25,3626,43.97%,4621,56.03%,2138.7,70.74%,334.42,11.06%,550.14,18.2%,24,0.29%,11,0.13%,18,0.22%,12
West Kameng (02),12755,9413.73,6221,48.77%,6534,51.23%,7057.44,74.97%,789.25,8.38%,1568.44,16.66%,33,0.26%,43,0.34%,40,0.31%,12
East Kameng (03),12256,35438.61,9995,81.55%,2261,18.45%,21216.64,59.87%,5258.19,14.84%,8963.78,25.29%,37,0.3%,29,0.24%,34,0.28%,12
Papum Pare (04),13493,25952.74,3338,24.74%,10155,75.26%,16567.1,63.84%,5303.7,20.44%,4090.54,15.76%,183,1.36%,267,1.98%,59,0.44%,12
Upper Subansiri (05),16628,282318.31,11254,67.68%,5374,32.32%,168009.43,59.51%,62749.91,22.23%,51559.48,18.26%,189,1.14%,159,0.96%,164,0.99%,12
West Siang (06),16355,73201.68,10343,63.24%,6012,36.76%,54295.12,74.17%,7074.19,9.66%,11832.37,16.16%,123,0.75%,84,0.51%,47,0.29%,12
East Siang (07),12593,46889.92,6190,49.15%,6403,50.85%,23229.14,49.54%,8607.76,18.36%,15053.02,32.1%,207,1.64%,282,2.24%,86,0.68%,12
Upper Siang (08),5487,14573.05,3422,62.37%,2065,37.63%,8137.76,55.84%,1956.49,13.43%,4478.8,30.73%,63,1.15%,39,0.71%,16,0.29%,12
Changlang (09),23292,64461.67,13528,58.08%,9764,41.92%,41882.77,64.97%,10133.41,15.72%,12445.48,19.31%,119,0.51%,101,0.43%,126,0.54%,12
Tirap (10),15931,136580.36,11238,70.54%,4693,29.46%,111677.96,81.77%,13165.8,9.64%,11736.6,8.59%,60,0.38%,38,0.24%,62,0.39%,12
Lower Subansiri (11),11726,46372.72,6086,51.9%,5640,48.1%,16137.82,34.8%,16916.08,36.48%,13318.82,28.72%,58,0.49%,77,0.66%,52,0.44%,12
Kurung Kumey (12),17068,106069.05,9067,53.12%,8001,46.88%,53136.43,50.1%,25907.04,24.42%,27025.58,25.48%,74,0.43%,163,0.96%,58,0.34%,12
Dibang Valley (13),1241,26769.5,224,18.05%,1017,81.95%,12291.5,45.92%,9657,36.07%,4821,18.01%,5,0.4%,8,0.64%,1,0.08%,12
Lower Dibang Valley (14),7905,31266.71,3034,38.38%,4871,61.62%,19499.83,62.37%,6353.53,20.32%,5413.35,17.31%,117,1.48%,71,0.9%,27,0.34%,12
Lohit (15),22686,46228.26,12318,54.3%,10368,45.7%,32131.95,69.51%,4870.22,10.54%,9226.09,19.96%,172,0.76%,152,0.67%,219,0.97%,12
Anjaw (16),4179,12043.79,2911,69.66%,1268,30.34%,9138.55,75.88%,1701.24,14.13%,1204,10%,7,0.17%,7,0.17%,5,0.12%,12
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,13
North Eastern Zone Total,8061458,116958378.27,3312635,41.09%,4748710,58.91%,70295845.73,60.1%,26824664.81,22.94%,19837883.57,16.96%,111149,1.38%,249098,3.09%,73684,0.91%,13
State Total,284310,8808340.1,163184,57.4%,121121,42.6%,3748809.82,42.56%,2374278.8,26.95%,2685251.53,30.49%,1262,0.44%,2811,0.99%,1142,0.4%,13
Mon (01),35445,202037.31,21208,59.83%,14237,40.17%,111364.5,55.12%,41349.24,20.47%,49323.58,24.41%,118,0.33%,99,0.28%,74,0.21%,13
Mokokchung (02),30620,160289.28,18290,59.73%,12330,40.27%,105367.65,65.74%,28251.66,17.63%,26669.97,16.64%,80,0.26%,152,0.5%,69,0.23%,13
Zunheboto (03),23617,811508.72,13384,56.67%,10228,43.31%,312197.91,38.47%,154317.86,19.02%,344992.95,42.51%,76,0.32%,48,0.2%,78,0.33%,13
Wokha (04),24530,683266.4,15504,63.2%,9026,36.8%,648021.18,94.84%,16785.09,2.46%,18460.13,2.7%,99,0.4%,81,0.33%,89,0.36%,13
Dimapur  (05),41147,4140586.67,11116,27.02%,30031,72.98%,1508562.01,36.43%,1344023.4,32.46%,1288001.27,31.11%,205,0.5%,1055,2.56%,93,0.23%,13
Phek (06),30807,360293.08,26764,86.88%,4043,13.12%,218741.65,60.71%,67835.63,18.83%,73715.8,20.46%,168,0.55%,930,3.02%,59,0.19%,13
Tuensang (07),29744,54183.15,21299,71.61%,8445,28.39%,39385.02,72.69%,5597.89,10.33%,9200.25,16.98%,67,0.23%,44,0.15%,53,0.18%,13
Longleng (08),10934,70131.62,6088,55.68%,4846,44.32%,58911.72,84%,6387.8,9.11%,4832.1,6.89%,172,1.57%,165,1.51%,193,1.77%,13
Kiphire (09),12983,21179.98,9334,71.89%,3649,28.11%,13391.45,63.23%,3766.2,17.78%,4022.34,18.99%,39,0.3%,34,0.26%,40,0.31%,13
