District Name,Total Households,Refrigerator,% Refrigerator,Telephone/Mobile phone - 1 = Landline only,Telephone/Mobile phone - % 1 = Landline only,Telephone/Mobile phone - 2 = Mobile only,Telephone/Mobile phone - % 2 = Mobile only,Telephone/Mobile phone - 3 = Both (Landline and Mobile),Telephone/Mobile phone - % 3 = Both (Landline and Mobile),Telephone/Mobile phone - 4 = NO,Telephone/Mobile phone - % 4 = NO,Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,% Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,State_Code
Sonbhadra (69),288433,13277,4.6%,856,0.3%,211602,73.36%,4475,1.55%,71495,24.79%,62585,21.7%,09
Etah (70),241868,12184,5.04%,429,0.18%,211691,87.52%,1867,0.77%,27881,11.53%,59898,24.76%,09
Kanshiram Nagar (71),191433,6812,3.56%,360,0.19%,166085,86.76%,1296,0.68%,23692,12.38%,35610,18.6%,09
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,10
East Zone Total,47307665,2019204,4.27%,241410,0.51%,29417284,62.18%,400489,0.85%,17245002,36.45%,5079834,10.74%,10
State Total,17829066,456850,2.56%,109635,0.61%,14568830,81.71%,154305,0.87%,2993859,16.79%,2082670,11.68%,10
Pashchim Champaran (01),681326,15439,2.27%,2293,0.34%,546537,80.22%,7505,1.1%,124409,18.26%,127631,18.73%,10
Purba Champaran (02),917790,25504,2.78%,6871,0.75%,754908,82.25%,8737,0.95%,147202,16.04%,142336,15.51%,10
Sheohar (03),149211,1573,1.05%,613,0.41%,123034,82.46%,1065,0.71%,24499,16.42%,17805,11.93%,10
Sitamarhi (04),725723,13680,1.89%,3500,0.48%,595889,82.11%,8190,1.13%,118082,16.27%,79517,10.96%,10
Madhubani (05),886810,13096,1.48%,9363,1.06%,766515,86.44%,6631,0.75%,104234,11.75%,106947,12.06%,10
Supaul (06),455280,10754,2.36%,2202,0.48%,355457,78.07%,3463,0.76%,94049,20.66%,42378,9.31%,10
Araria (07),595834,14519,2.44%,14875,2.5%,443441,74.42%,3613,0.61%,133901,22.47%,47286,7.94%,10
Kishanganj (08),308989,7417,2.4%,2017,0.65%,230473,74.59%,2219,0.72%,74280,24.04%,29534,9.56%,10
Purnia (09),591936,11297,1.91%,5027,0.85%,478903,80.9%,3876,0.65%,104124,17.59%,61345,10.36%,10
Katihar (10),582089,18427,3.17%,4927,0.85%,431290,74.09%,3850,0.66%,142018,24.4%,50793,8.73%,10
Madhepura (11),402414,15701,3.9%,1071,0.27%,316082,78.55%,2926,0.73%,82283,20.45%,34473,8.57%,10
Saharsa (12),351154,6980,1.99%,951,0.27%,277007,78.88%,3133,0.89%,70019,19.94%,36341,10.35%,10
Darbhanga (13),817164,16794,2.06%,2226,0.27%,605208,74.06%,7110,0.87%,202609,24.79%,57599,7.05%,10
Muzaffarpur (14),876341,26268,3%,4474,0.51%,746690,85.21%,7827,0.89%,116285,13.27%,121604,13.88%,10
Gopalganj (15),389899,9512,2.44%,1057,0.27%,347959,89.24%,2456,0.63%,38411,9.85%,67736,17.37%,10
Siwan (16),519048,14851,2.86%,1267,0.24%,453450,87.36%,3643,0.7%,60683,11.69%,77510,14.93%,10
Saran (17),577746,17257,2.99%,1364,0.24%,505261,87.45%,3930,0.68%,67159,11.62%,80497,13.93%,10
Vaishali (18),629950,9346,1.48%,2465,0.39%,534349,84.82%,4020,0.64%,89098,14.14%,69256,10.99%,10
Samastipur (19),831029,17047,2.05%,3052,0.37%,724283,87.15%,4498,0.54%,99188,11.94%,74974,9.02%,10
Begusarai (20),491437,8932,1.82%,1640,0.33%,397389,80.86%,5068,1.03%,87339,17.77%,42943,8.74%,10
Khagaria (21),347924,8545,2.46%,1622,0.47%,299453,86.07%,3764,1.08%,43083,12.38%,29869,8.58%,10
Bhagalpur (22),468355,14983,3.2%,1900,0.41%,395106,84.36%,5145,1.1%,66201,14.13%,74457,15.9%,10
Banka (23),384455,14488,3.77%,8302,2.16%,295620,76.89%,3767,0.98%,76766,19.97%,35113,9.13%,10
Munger (24),201233,5070,2.52%,437,0.22%,168142,83.56%,1043,0.52%,31611,15.71%,19124,9.5%,10
Lakhisarai (25),141284,2587,1.83%,1303,0.92%,118187,83.65%,1383,0.98%,20411,14.45%,20496,14.51%,10
Sheikhpura (26),91847,1653,1.8%,322,0.35%,78552,85.52%,813,0.89%,12159,13.24%,7895,8.6%,10
Nalanda (27),462838,10727,2.32%,1605,0.35%,370429,80.03%,5171,1.12%,85632,18.5%,40572,8.77%,10
Patna (28),690850,21212,3.07%,5104,0.74%,500927,72.51%,6608,0.96%,178210,25.8%,106587,15.43%,10
Bhojpur (29),419641,6677,1.59%,1903,0.45%,357040,85.08%,4021,0.96%,56647,13.5%,62193,14.82%,10
Buxar (30),238210,6013,2.52%,958,0.4%,212433,89.18%,2429,1.02%,22387,9.4%,38765,16.27%,10
Kaimur Bhabua (31),241516,11084,4.59%,519,0.21%,203928,84.44%,3608,1.49%,33461,13.85%,33322,13.8%,10
Rohtas (32),409854,17928,4.37%,1086,0.26%,344486,84.05%,4087,1%,60080,14.66%,53091,12.95%,10
Aurangabad (33),366898,16126,4.4%,832,0.23%,310380,84.6%,2896,0.79%,52788,14.39%,43770,11.93%,10
Gaya (34),659015,18829,2.86%,8657,1.31%,527321,80.02%,6414,0.97%,116588,17.69%,61133,9.28%,10
Nawada (35),349738,9646,2.76%,1045,0.3%,284067,81.22%,3418,0.98%,61189,17.5%,24995,7.15%,10
Jamui (36),292670,10672,3.65%,1650,0.56%,246377,84.18%,3261,1.11%,41372,14.14%,36755,12.56%,10
Jehanabad (37),164924,4158,2.52%,693,0.42%,123299,74.76%,1508,0.91%,39418,23.9%,14904,9.04%,10
Arwal (38),116644,2058,1.76%,442,0.38%,98958,84.84%,1209,1.04%,15984,13.7%,11124,9.54%,10
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,11
North Eastern Zone Total,8061458,484366,6.01%,58991,0.73%,5100088,63.27%,67506,0.84%,2834255,35.16%,1057544,13.12%,11
State Total,88723,9762,11%,140,0.16%,75330,84.9%,670,0.76%,12583,14.18%,7935,8.94%,11
North  District (01),6550,855,13.05%,9,0.14%,5596,85.44%,39,0.6%,906,13.83%,777,11.86%,11
West District (02),26267,1655,6.3%,26,0.1%,21402,81.48%,104,0.4%,4735,18.03%,1909,7.27%,11
South District (03),24429,2442,10%,30,0.12%,20909,85.59%,237,0.97%,3253,13.32%,2038,8.34%,11
East District (04),31477,4810,15.28%,75,0.24%,27423,87.12%,290,0.92%,3689,11.72%,3211,10.2%,11
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,12
North Eastern Zone Total,8061458,484366,6.01%,58991,0.73%,5100088,63.27%,67506,0.84%,2834255,35.16%,1057544,13.12%,12
State Total,201842,14328,7.1%,6233,3.09%,89173,44.18%,5791,2.87%,100645,49.86%,88792,43.99%,12
Tawang (01),8247,235,2.85%,368,4.46%,2682,32.52%,440,5.34%,4757,57.68%,604,7.32%,12
West Kameng (02),12755,621,4.87%,350,2.74%,6542,51.29%,446,3.5%,5417,42.47%,8337,65.36%,12
East Kameng (03),12256,581,4.74%,318,2.59%,3035,24.76%,238,1.94%,8665,70.7%,2813,22.95%,12
Papum Pare (04),13493,3205,23.75%,418,3.1%,8467,62.75%,835,6.19%,3773,27.96%,9031,66.93%,12
Upper Subansiri (05),16628,1328,7.99%,471,2.83%,3402,20.46%,597,3.59%,12158,73.12%,6128,36.85%,12
West Siang (06),16355,1394,8.52%,1061,6.49%,6995,42.77%,796,4.87%,7503,45.88%,8904,54.44%,12
East Siang (07),12593,1111,8.82%,461,3.66%,8101,64.33%,403,3.2%,3628,28.81%,5740,45.58%,12
Upper Siang (08),5487,264,4.81%,52,0.95%,2445,44.56%,89,1.62%,2901,52.87%,813,14.82%,12
Changlang (09),23292,1367,5.87%,694,2.98%,11019,47.31%,228,0.98%,11351,48.73%,12203,52.39%,12
Tirap (10),15931,461,2.89%,163,1.02%,5338,33.51%,66,0.41%,10364,65.06%,10719,67.28%,12
Lower Subansiri (11),11726,1040,8.87%,704,6%,7102,60.57%,701,5.98%,3219,27.45%,6561,55.95%,12
Kurung Kumey (12),17068,710,4.16%,459,2.69%,3959,23.2%,324,1.9%,12326,72.22%,5808,34.03%,12
Dibang Valley (13),1241,33,2.66%,41,3.3%,439,35.37%,36,2.9%,725,58.42%,542,43.67%,12
Lower Dibang Valley (14),7905,487,6.16%,374,4.73%,5470,69.2%,225,2.85%,1836,23.23%,3963,50.13%,12
Lohit (15),22686,1347,5.94%,245,1.08%,12871,56.74%,241,1.06%,9329,41.12%,6319,27.85%,12
Anjaw (16),4179,144,3.45%,54,1.29%,1306,31.25%,126,3.02%,2693,64.44%,307,7.35%,12
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,13
North Eastern Zone Total,8061458,484366,6.01%,58991,0.73%,5100088,63.27%,67506,0.84%,2834255,35.16%,1057544,13.12%,13
State Total,284310,28339,9.97%,747,0.26%,181653,63.89%,2218,0.78%,99692,35.06%,36449,12.82%,13
Mon (01),35445,952,2.69%,219,0.62%,13873,39.14%,82,0.23%,21271,60.01%,1342,3.79%,13
Mokokchung (02),30620,4158,13.58%,67,0.22%,24678,80.59%,233,0.76%,5642,18.43%,5903,19.28%,13
Zunheboto (03),23617,535,2.27%,39,0.17%,17625,74.63%,138,0.58%,5815,24.62%,2851,12.07%,13
Wokha (04),24530,692,2.82%,28,0.11%,12327,50.25%,195,0.79%,11980,48.84%,1715,6.99%,13
Dimapur  (05),41147,17624,42.83%,123,0.3%,35836,87.09%,950,2.31%,4238,10.3%,11344,27.57%,13
Phek (06),30807,541,1.76%,40,0.13%,18133,58.86%,222,0.72%,12412,40.29%,1851,6.01%,13
Tuensang (07),29744,310,1.04%,77,0.26%,16302,54.81%,95,0.32%,13270,44.61%,2158,7.26%,13
Longleng (08),10934,252,2.3%,82,0.75%,5647,51.65%,19,0.17%,5186,47.43%,3238,29.61%,13
Kiphire (09),12983,92,0.71%,4,0.03%,4641,35.75%,14,0.11%,8324,64.11%,548,4.22%,13
Kohima (10),29305,2561,8.74%,23,0.08%,20563,70.17%,184,0.63%,8535,29.12%,4448,15.18%,13
Peren (11),15178,622,4.1%,45,0.3%,12028,79.25%,86,0.57%,3019,19.89%,1051,6.92%,13
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,14
North Eastern Zone Total,8061458,484366,6.01%,58991,0.73%,5100088,63.27%,67506,0.84%,2834255,35.16%,1057544,13.12%,14
State Total,448163,35654,7.96%,1239,0.28%,359240,80.16%,2891,0.65%,84791,18.92%,81799,18.25%,14
Senapati (01),93129,3959,4.25%,277,0.3%,73276,78.68%,579,0.62%,18997,20.4%,8753,9.4%,14
Tamenglong (02),25878,849,3.28%,132,0.51%,15661,60.52%,525,2.03%,9560,36.94%,1561,6.03%,14
Churachandpur (03),53252,5548,10.42%,284,0.53%,39462,74.1%,237,0.45%,13269,24.92%,7423,13.94%,14
